entity_key;title;totalScore;reviewsCount;street;city;categoryName;text;jumlah_teks_untuk_sentimen;sentiment_score;sentimen_confidence
adelia salon bandung || pinggir hepimart martabak jayaraga jl margacinta no 25;Adelia salon bandung;4,5;202;Pinggir hepimart/martabak jayaraga, Jl. Margacinta No.25;Kota Bandung;Salon Rambut;Pertama kali coba treatment down perm poni jadi dikasih saran model rambut yang cocok buat aku, setiap gunting rambut selalu mastiin panjang pendek nya, pelayanan nya juaraaa ramah-ramah bgt semua pegawainya. Pokoknya bintang kejora✨ ||| baru kali ini kecewa bgt sama potongan nya, potongan nya kependekan aku minta nya se bahu/dada aku minta potongan nya oval layer. pgn bilang kependekan tapi udah terlanjur huhu biasa selalu potong disinii karna bagus bgt tapi jujur kali ini kecewa bgt. tapi tetep bagus kok untuk potongan nya cuman kependekan aja. lain kali untuk bisa lebih di perhatikan lagi kemauan customer nya ya. terimakasih🙏 ||| gapernah gagal nyalon disini, potongannya selalu rapih dan sesuai yg aku mau. udh pernah potong rambut, down perm, colouring, semua hasilnya bagus. pelayanannya bagus, teteh tetehnya baik baik bgt, kerjanya lembut jd ga bikin pusing kepala, pijetan waktu dikeramasnya enak bgt. tempatnya bersih, rapih, adem. ||| Bagus bgt, suka deh❤️ recomend👍👍 fix bakal jg langganan klo coloring🤪 ||| Guys Tempat nya nyaman banget lho rekomendasi banget nihh buat Kaka yang mau nyalon perawatan rambut, Karyawan nya juga ramah baik selalu bisa memberikan/penjelasan yang mudah di mengerti tentang apa yang konsumen inginkan🥰 Sangat amat puass sekali dengan hasil dan pelayanan nya ramah2 😍;5;1;Tinggi
adf outlet dago || jl ir h juanda no 123;ADF OUTLET DAGO;4,3;793;Jl. Ir. H. Juanda No.123;Kota Bandung;Toko Pakaian Olahraga;"Ngga udah jauh"" n' ngga perlu susah parkir disini aja tempatnya luar produknya komplit n' parkirnya leluasa bisa sekalian belanja kebutuhan lain sekalian kuliner kan storenya dipusat keramaian Dago sentral outlet di Bandung ||| Sedih banget beli sandal disini, ternyata kualitasnya udah ga bagus, padahal harga diskonnya gak banyak, yg tadinya 700 rb jadi 500rb, beli belum lama, belum ada 1 bulan, tapi sandal solnya udah robek ||| Koleksinya lengkap, sampai ada ukuran utk kaki besar spti ukuran 46, 47. Modelnya mantap, kekinian, hrga sdh kena diskon. Lebih lengkap drpd outlet di mall ||| Untuk merek sepatunya terbatas nike, asics, puma, brooks, u tuk barang lumayan lengkap , untuk harga rata rata sama dengan yg dijual ditoko sejenis, ada juga lebih murah dan ada juga yg lebih mahal. ||| Tiap ke bandung, nyempetin ke outlet adidas di dago ini. Kenapa? Disini diskonnya 30%-70%, buat yang ukuran kaki kecil disini surganya sih. Sepatu model pilihan, ukuran kaki 35-38, diskonnya bisa sampe 70%. Buat yang suka teknologi boost adidas disini banyak itemnya. Brand adidas original pilihan juga cakep barangnya. Semalem nemu yeezy ukuran 38 diskon 50% dong hhaaa.";5;1;Tinggi
adindasecondstore jual thrift sweater crewneck murah di bandung || jl terusan megasari no 8 sukaraja bandung dekat landasan husein sastranegara;adindasecondstore - Jual Thrift Sweater & Crewneck Murah di Bandung;5;4;Jl. Terusan Megasari No.8 Sukaraja Bandung (dekat landasan husein sastranegara;Kota Bandung;Toko Pakaian Bekas;pindah kemana kang? ||| Barangnya bagus dan murce ||| Mantap kk barang nya ||| td ksana udh gk ada🥺;4;1;Tinggi
adorableprojects || laswee creative space jl laswi no 1;AdorableProjects;4,9;3877;Laswee Creative Space, Jl. Laswi No.1;Kota Bandung;Toko Sepatu;ntaaah kali keberapa beli langsung ke warehouse, enak banget bisa cobain langsung sendal/sepatu yang udah di keceng dari katalog online, tempatnya nyaman lucuuu dan pelayanan CS nya udah gausah diragukan lagi, belum lagi aftersales nya yg toppp selalu ditanyain kondisi sepatunya setelah beberapa bulan beli yuhuu, thankss adorable projects🤩🥳❤️✨ ||| bela belain dari dago kesini buat cobain dan beli karena mereka ada ukuran 35 dan emang biasanya ukuran 35 susah dicari. nyaman banget sepatunya, empuk. modelnya juga lucu lucu banget, cuma ga semua sepatunya didisplay jadi sebelum dateng meningan ditandain dulu liat dari online shopnya terus nanti minta tolong ke staffnya. staffnya sangat ramah dan membantu banget ko. pas beli ternyata dapet freebies juga. untuk cari lokasinya tapi emang agak tricky karena nyempil gitu, hampir ga keliatan, satu lahan sama j&t dll kalo ga salah, pokonya emang banyak kaya truk gitu, bisa tanya juga sama yang disekitar sana. sangat worth it bela belain perjalanan kesana, tapi semoga bisa buka cabang di kota bandung hehe. ||| Puas bgt belanja di adorable 🤍🤍 beli offline bonusnya banyak royall bgtt 💕. Staffnya ramah dan baik banget.. next insyaAllah repeat order, sukses teruss ||| beli sepatu di warehouse nya langsung lebih puas bisa dicoba dulu,,ada diskon nya ada garansi dan dikasih gift lagi lumayan bgt kan,,sepatu lokal nyaman dipakai ||| Sempet nyasar karena baru pertama kali. Dateng bareng tmn, borong sepatu sama sandal 😆;5;1;Tinggi
aero clean laundry bandung || jl reog no 58;AERO CLEAN LAUNDRY BANDUNG;4,4;188;Jl. Reog No.58;Kota Bandung;Layanan Binatu;Laundry lengkap! Sepertinya semua bisa dicuci disini, tinggal liat aja harganya berapa. Yang bikin lebih mantap adalah pelayanannya, bisa antar jemput dan ramah petugasnya. Bayarnya juga bisa non tunai... Cuma parkiran kendaraannya agak susah, mana jalan depannya kecil.... ||| Beberapa kali kesini buat cuci tas ransel anak lumayan ok bersih, tapi yg terakhir cukup kecewa, karena bahan bukan kulit dimasukan kulit dan cukup mahal, ketika dipickup tas seperti tidak dicuci masih kotor dibeberapa tempat sungguh sangat mengecewakan dan kesal rasanya, untuk tas bahan lain seperti kain atau apa ya kanvas mungkin, mereka ok dan cukup bersih cuma tidak ada layanan seperti disemir ato apa gt biar hasilnya lebih baik, literally mereka ga peduli sih yg penting mereka udah merasa nyuciin dan bersih ato tidak mereka seperti ga ada rasa gitu kaya robot aja orang2 disitu mungkin udah kebanyakan komplain? (maybe). Saya harap sih mereka meningkatkan lagi layanannya lebih humanis dan kerjanya lebih baik ||| sangat rekomendasi, 100% hasil puas! ||| Laundry di sini rapih, trs komplit cuci apa aja bisa. ||| Cuci Dry clean jas express memuaskan 👍👍;5;1;Tinggi
aero clean laundry cikutra || jl cikutra barat no 100;Aero Clean Laundry Cikutra;4;12;Jl. Cikutra Barat No.100;Kota Bandung;Layanan Binatu;Bersih banget hasilnya ||| Harga lumayan murah dikit tapi karpet hampir 2 minggu selesainya. No admin slowres ||| bersih dan wangi ||| Tempat laundry andalan selama tinggal di Bandung —dan sampai sekarang masih pakai ketika mudik atau laundry untuk keluarga. Paling sering pakai servis regular (ga pernah lebih dari 3 hari) dan kilat 8 jam (diambil pagi, diantar sore). Admin selalu tanggap responnya. Pernah suatu kali nyuci gorden tapi sobek, lalu mereka bertanggungjawab ganti. Sistemnya mudah: laundry diambil, invoice dikirim via WhatsApp, kita transfer via Mandiri/BCA, lalu mereka akan kasih tau kalo laundry sudah jadi dan siap antar. Karena antar jemput, terkadang kurir penjemput lama datangnya. Tapi ga masalah, perlu komunikasikan dg admin aja untuk atur jam. Semoga laris jadi bisa punya kurir antar lebih banyak dan maintain kualitas! ||| Pelayanannya bagus rapuh dan wangi;5;1;Tinggi
agen jne ciumbuleuit || jl ciumbuleuit no 47;AGEN JNE CIUMBULEUIT;3,9;164;Jl. Ciumbuleuit No.47;Kota Bandung;Jasa Kurir;"Pertama kesini, ternyata daerah yg dituju tdk bisa diakses YES, kemudian masnya menyarankan memilih ekspedisi lain sambil nunjukkin jalannya hehe terima kasih ||| Jam buka-tutup tidak sesuai. Dan pelayannya kebanyakan maen game. ||| Pelayanan bagus pegawainya ramah sekali ini jujur aja ||| Kurir lambat ,paket lama sampai , mending pake jasa kirim lain , lebih gesit dan cepat sampai ||| Tmptnya bersih ada kursi"" buat nunggu. Untuk pengiriman krg tau cpt atau gmna first time soalnya😁";5;1;Tinggi
agen wahana express bursa buku ganesha || jl gelap nyawang 5a lt atas;Agen Wahana Express Bursa Buku Ganesha;4;2;Jl. Gelap Nyawang.5A Lt. Atas;Kota Bandung;Jasa Pengiriman;Di sebelah mana sih? Ngga nemu plangnya.. ||| Good;2;-1;Sedang
agen wahana express cibeunying permai bandung || jl cibeunying permai i no 14;AGEN WAHANA EXPRESS CIBEUNYING PERMAI, BANDUNG;3,9;67;Jl. Cibeunying Permai I No.14;Kota Bandung;Layanan Logistik;Pelayanannya buruk, beberapa kali saya kirim barang bermasalah terus, paket ke tuker salah nempel resi dan terakhir ini kirim barang ga sampai2 tujuan gatau hilang apa diambil sama ekspedisi pas ngaterin nya ||| kirimin lah anjir paket gua lama bgt di simpen disana niat ga sih.... ||| Lokasi mudah ditemukan dan tentunya harga merakyat dibanding ekspedisi sejenis, ownernya ramah loh, baik dan tentunya pada saat pandemi seperti ini bener- bener memperhatikan prokes so mau kirim barang yang segede gaban tetep hemat boos.......👍 ||| Lokasi strategis, pengiriman antar bandung & jabodetabek cepat (1-2 hari sampai) kecuali ke kabupaten, mungkin jalurnya khusus kali ya.. Tapi overall oke, tarif oke, sering kirim bandung - jogja juga selalu sampai dalam waktu 2 hari kerja (Asal bukan tanggal merah yaaa) ||| Cepat, handle with care... Untuk daerah Cigadung mencari jasa pengiriman bisa ke sini. Trusted.....;5;1;Tinggi
agung barbershop 01 || URL:ChIJz3Uyu9fdaC4Rx3cF5GMilL8;Agung Barbershop 01;4,8;49;;Kota Bandung;Tempat Cukur Rambut;Tempat cukur yg bagus, tukang cukur nya Pindahan dari tempat cukur sawargi,tempat parkir motor tersedia, parkir mobil tidak tersedia ||| Tempat Nyaman Bersih Perlengkapan Alat Cukur Cukup Lengkap Pelayanan Ramah ||| Tempat cukur paling nyaman dan selalu is the best ||| Gaskkeun jangan ragu ganteng maximall ||| Pangkas rambut kualitas terbaik dan harga terjangkau bagi seluruh masyarakat terutama yang berdomisili di wilayah kelurahan Pasir Endah Kecamatan Ujungberung Kota Bandung dan sekitarnya. Pelayanan optimal dengan komunikasi yang ramah dan suasana hangat membuat nyaman menggunakan jasa pangkas rambut disini. Harga yang ditawarkan cukup terjangkau sehingga aman dan ramah di kantong.;5;1;Tinggi
ahs ganis || 3m3m 9c7 jl riung purna i;AHS GANIS;5;2;3M3M+9C7, Jl. Riung Purna I;Kota Bandung;Toko Kelontong Asia;Toko Gas dan Isi ulang, cukup terkenal diriung bandung, selain itu juga melayani service segala macam alat rumah tangga, mau nge BOR air juga bisa, apapun segala service alat rumah tangga, ato yg berhubungan rumah bisa di bicarakan;1;1;Rendah
aio store kopo toko elektronik bandung || jl soekarno hatta no 318;AIO Store - Kopo | Toko Elektronik Bandung;5;428;Jl. Soekarno-Hatta No.318;Kota Bandung;Toko Elektronik;Beli tv 32inch sharp sama teh maya , dapat disc lagi dari sharp nya ada gosok gosok berhadiah ||| Hatur nuhun tos dibantos ku kang riyan, pelayanan bagus barang berkualitas ||| Pelayanannya bagus,ramah dapet harga diskon juga ,makasih aio store kopo elektronik🙏 ||| Pertama kali lihat iklan nya, ||| Toko baru di daerah soetta kopo ada mas alwi pelayanan nya gercep sangat membantu.. beli kulkas sore barang langsung di kirim magrib mantappp;5;1;Tinggi
aisspa salon reflexology home service bandung || gg pancasila;AisSpa Salon & Reflexology(Home Service) Bandung;4,9;35;Gg. Pancasila;Kota Bandung;Spa pijat;Pijitan nya enak, terapis nya ramah... rekomended banget pokoknya...nanti kpan2 mau order lagi🥰 terimakasih semoga sukses selalu buat Aisspa🤲... ||| Tinggal hubungi via WA H-1, tunggu di rumah, dan pelayanan oke 👍🏻 Menerima pembayaran cashless juga, jadi sangat membantu. Admin ramah, terapis juga ramah dan pijatan enak. Dari minyak sampai kain semua sudah disiapkan. Terima kasih! ||| Makasih teteh berkat tth badan aku jadi enakan, badan rasanya ringan yang tadinya aku ngerasa kaku sebelum dipijit sekarang enakan badan aku + ditambah luluranmanyosss lah pokonya. Makasih yah sehat slalu teh,mudahmudahan pelanggan yang lain ngerasa puas banget kaya aku ,sama layanan tth ga akan nyesel pokonya nya 🥰👍👍👍 ||| Pelayanannya mantap banget, tetehnya ramah, asik diajak ngobrol, setelah dipijat juga badan rasanya seger nyaman enak. Kalau mau pijat lagi gampang tinggal WA aja trus nanti trapisnya langsung datang ke rumah, enak kan 😆 ||| Pertama kali nyobain....waw luar biasa 🥰🥰2jam gak kerasa saking enak bngett pijatan nya pokok nya bklan langganan...setelah d pijat Badan terasa ringan bgt....semoga lekas sehatt tubuhq..dan sukses untuk mba nya🤲🥰;5;1;Tinggi
aken salon spa || jl khp hasan mustopa no 161;Aken Salon & Spa;3,4;18;Jl. Khp Hasan Mustopa No.161;Kota Bandung;Salon Kecantikan;Potongan rambutnya ga bagus.. harganya mahal..paraaahhh ||| Profesionalitas masih kurang. saya ke sana karena salon sebelah tutup. dulu belasan tahun lalu pernah potong di aken krn ekonomis, sampe sekarang ini salon ga perubahan malah bentukannya makin amburadul. maaf ya, udah kayak potong di rumah ibu-ibu yg banyak anaknya, lagi motong rambut malah beli baso tahu. Pengeringnya juga rusak tolong ganti dong itu dari taon kpn. akhirnya saya pilih pulang ngeringin sendiri di rumah, untungnya si mbaknya tau diri bayaran dipotong jd 35 ribu. meskipun itu harga lumrah sih kayak salon sebelah, 40 ribu kemahalan dengan kualitas kayak gitu. ini potongan rambutnya juga niat pengen di rapihin malah sama aja ga ada perubahan. semoga kritiknya diterima dengan baik. ||| bisa smoking 🚬😅 (kalo lagi kosong) hahaha. ||| Potongan ga rapih, harganya standar, tempatnya pinggir jalan & kurang terawat, tapi hairdressernya ramah. Gaada tempat parkir motor jadi parkir di trotoar. (Kepepet ke salon ini karna salon sebelah tutup) ||| potong disini karena yg langganan tutup, nyoba nyoba kirain bagus taunya hadeehhhhh ,udh mah mahal trs ga sesuai sama gambar yg dikasih, padahal wolf cut itu cukup gampang. ini malah layer asal;5;-1;Tinggi
akusara laundry || jl bbk sukatma no 11;Akusara Laundry;5;4;Jl. BBK Sukatma No.11;Kota Bandung;Layanan Binatu;Tempat laundry yang sesuai kebutuhan baik rumah tangga, maupun anak kost. Hasilnya bersih dan wangi. Tarif nya : Cuci setrika 7.000/kg ( 3 hari) Cuci kering 5.000/kg Setrika saja 5.000/kg. One day service 10.000/kg (24jam). Express service 13.000/kg (3jam). Disini juga tersedia pulsa all operator, voucher kuota, token listrik. ||| Cucian nya bersih wangi dan rapih , gk nyesel deh nyuci di akusara dengan harga yg standrd ,pelayanan ramah ... Sukses terus akusara loundry ||| Langganan cuci setrika sangat bersih rapih dan wangi. oke banget buat yg sibuk ga sempet cuci2... Pakaian karpet boneka dll deh;3;1;Tinggi
alaska sport shoes || jl astana anyar no 18;Alaska Sport Shoes;4;878;Jl. Astana Anyar No.18;Kota Bandung;Toko Sepatu;Dulu pas jaman SMA 2018 pernah beli lngsung (OFFLINE) ditoko ini dan kualitas bagus bgt dan awet. Kmren coba beli online karna kerja di luar kota bdg. Gatau emng skarang kualitas jelek apa di kasih barang jelek ya klo beli online. Padahal dlu pas beli bgus bgt smpe sya niat cari toko online nya biar bisa beli disini lagi gtu. Tapi malah dibikin kecewa :’( ||| saran saya ke pemilik alaska ganti pelayan , udah cowo jutek mukanya kusem banget , pdhl untuk sepatunya bagus hrsnya pelayananya ramah ini malah jutek bad atitude banget! ||| Kesini tuh kita beli lohhhh tapi penjaganya yg cowok judes pisan , jadi hoream .. Mau kesini lagi takut judes lagi ah , padahalbarang nya dari dlu aku sekolah selalu beli disini karna bagus dan awet , skrg mau beli buat anak ampun dehhh judes na , jadi gajadi belinya karna malas ||| Untuk barangnya oke harganya terjangkau kualitas lumayan,tapi pelayanannya agak kurang ||| Abang pegawai yang jaganya kurang bersahabat, seperti malas-malasan menghadapi pelanggan, padahal Cici/Koko yang punya toko sering nawarin untuk mencoba ukuran sepatu, tapi si penjaga tokonya tidak mau ambil pusing dan malah seenaknya menilai cukup/tidaknya ukuran sepatu.;5;-1;Tinggi
