title;totalScore;reviewsCount;street;city;state;countryCode;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;categories/8;categories/9;url;categoryName;;;;;
UD. Yayah. S;3;2;Los Ps. Eceran Gede Bage, Jl. Soekarno-Hatta Blok TU No. 491;Kota Bandung;Jawa Barat;ID;;+62 819-3200-7277;Toko Kelontong India;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=UD.%20Yayah.%20S&query_place_id=ChIJZQ9kTM_CaC4Rgaol2SsYWSY;Toko Kelontong India;;;;;
Warung Lisna;;;Jalan Sadaria No.93, RT.03/RW.05;Kota Bandung;Jawa Barat;ID;;+62 821-1248-7245;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Lisna&query_place_id=ChIJtzF27dLcaC4RRw5PcRCcUWo;Minimarket;;;;;
Warung Sembako Irrawadie;;;Jl. Senam Indah I No.4;Kota Bandung;Jawa Barat;ID;;+62 822-4246-6465;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Irrawadie&query_place_id=ChIJ4UF2YWrnaC4RVa1xWhIgAkQ;Toko Kelontong Asia;;;;;
Warung Arif;5;1;Jl. Embah Jaksa Gg. Pesantren IV No.71, RT.004/RW.001;Kota Bandung;Jawa Barat;ID;;+62 898-4596-330;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Arif&query_place_id=ChIJuR_iodjDaC4RH_I2Avtf2cA;Toko;;;;;
Warung riky45;;;Jl. Parakansaat ll Gg. Bah Idrus No.45;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20riky45&query_place_id=ChIJMRlg3wXDaC4R335Fm2PxsLs;Toko Kelontong Asia;;;;;
Toko Madinah;4.9;10;3P88+8QF, Jl. Raya Cipadung;Kota Bandung;Jawa Barat;ID;;+62 822-9564-8399;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Madinah&query_place_id=ChIJaXQUBijDaC4RAsZ2sJI61SY;Minimarket;;;;;
Toko hana;4.5;8;3P47+RRH, Jalan Raya;Kota Bandung;Jawa Barat;ID;;;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20hana&query_place_id=ChIJS_dK7PvDaC4RcjDGcUdIB5c;Pusat Perbelanjaan;;;;;
Toko Sumiati;4.5;2;3PG9+JVJ, Jl. Desa Cipadung;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sumiati&query_place_id=ChIJ0Val0NTcaC4RMRkYc773q4I;Toko;;;;;
LOTTE GROSIR BANDUNG;4.3;2328;Jl. Soekarno-Hatta No.646;Kota Bandung;Jawa Barat;ID;https://order.lottemart.co.id/;;Grosir;Hipermarket;;;;;;;;;https://www.google.com/maps/search/?api=1&query=LOTTE%20GROSIR%20BANDUNG&query_place_id=ChIJi0NorKXCaC4RT_kkR5O8svA;Grosir;;;;;
TOKO TRI;4.6;16;Jl. Setra Dago Raya No.15a;Kota Bandung;Jawa Barat;ID;;+62 22 87789130;Layanan Pengiriman Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20TRI&query_place_id=ChIJAcnjkPHnaC4RZMIh_7IefZM;Layanan Pengiriman Barang Kelontong;;;;;
Toko Barokah01;4.1;16;Jl. Gedebage Selatan No.5;Kota Bandung;Jawa Barat;ID;;+62 858-7156-9804;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Barokah01&query_place_id=ChIJh6cuAozCaC4RrvOGJ2GZdp8;Toko bahan makanan;;;;;
TOKO FAJAR;4.6;5;Jl. Kertamanah No.215;Kota Bandung;Jawa Barat;ID;;+62 813-2497-1744;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20FAJAR&query_place_id=ChIJVctLM0XdaC4R5cYQ-ezee5Y;Minimarket;;;;;
Toko Bunda;4.6;29;Jl. Cilengkrang 1 No.71;Kota Bandung;Jawa Barat;ID;;+62 22 87881132;Toko bahan makanan;Toko;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Bunda&query_place_id=ChIJX1p_syndaC4RiwfbwywJ-WE;Toko bahan makanan;;;;;
Warung Mama Sultan;5;2;Gg. Mekar Sari XI No.62-46;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Mama%20Sultan&query_place_id=ChIJ47fIUgDpaC4R6X0fpJdleJY;Toko;;;;;
Warung acung;4.5;4;Jl. Rancasagatan;Kota Bandung;Jawa Barat;ID;;+62 899-6127-603;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20acung&query_place_id=ChIJk63t6x7DaC4R3EgobFyZgPI;Toko;;;;;
Toko Banjar;4.8;40;Jl. Cicukang;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Banjar&query_place_id=ChIJYzz4_U7daC4RzGd9sNJUNw8;Toko;;;;;
Warung Cau Mang Ending;;;Pinggir Jl. Riung Hegar Raya No.7;Kota Bandung;Jawa Barat;ID;;+62 813-2147-8234;Grosir Sayur dan Buah;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Cau%20Mang%20Ending&query_place_id=ChIJ3xzR8-3DaC4R3DyXIKm7gUQ;Grosir Sayur dan Buah;;;;;
Toko Biru;5;1;Jl. Puri Asih Raya No.20;Kota Bandung;Jawa Barat;ID;;+62 878-8546-1996;Warung Makanan Kecil;Toko Kelontong Asia;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Biru&query_place_id=ChIJI89mH9jDaC4RGIE1aJFY5PU;Warung Makanan Kecil;;;;;
Warung;;;Jl. Pamekar Raya No.53A Komplek panghegar permai;Kota Bandung;Jawa Barat;ID;;+62 895-1258-4312;Toserba;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung&query_place_id=ChIJMVE3FgDDaC4RmI_wZAWFGtg;Toserba;;;;;
Warung sembako teh neng ati;;;3M4P+3X4, Jl. Gedebage Selatan;Kota Bandung;Jawa Barat;ID;;+62 895-4161-77112;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%20teh%20neng%20ati&query_place_id=ChIJY8zYOPfDaC4RsR4eo-qDP00;Toko bahan makanan;;;;;
Ramadhan(BRI Link&wr.sembako);5;3;komplek, Jl. Terusan Sukup Baru II No.34 rt07/06;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Ramadhan(BRI%20Link%26wr.sembako)&query_place_id=ChIJi9-eBPXdaC4RZQ8aI5vpAhY;Toko Kelontong Asia;;;;;
Toko Anugrah;4.4;9;Jl. Raya Panyileukan No.1;Kota Bandung;Jawa Barat;ID;;+62 22 7809388;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Anugrah&query_place_id=ChIJTYumeeDCaC4RHxWI6N4oyhg;Minimarket;;;;;
Warung;;;Jl. Sindangsari II Indah No.47A;Kota Bandung;Jawa Barat;ID;;+62 813-4874-1770;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung&query_place_id=ChIJjXmwRjvnaC4R_lyqm8s1u14;Toko Kelontong Asia;;;;;
Toko Giri Mukti;4.7;25;Jl. Babakan Dangdeur No.10;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Giri%20Mukti&query_place_id=ChIJkXIDPinDaC4R2J48f_ddO2M;Toko bahan makanan;;;;;
Toko Hade II Cipadung;4.4;18;Toko Hade, Depan Sd Pelita, Jl. Cipadung No.RT.03/13;Kota Bandung;Jawa Barat;ID;;+62 877-1525-3991;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Hade%20II%20Cipadung&query_place_id=ChIJR9FligfdaC4RZKQdEwl_F0E;Toko Kelontong Asia;;;;;
Warung Mba Maryam;;;Jl. Rumah Sakit Gg. Siliwangi VI No.39;Kota Bandung;Jawa Barat;ID;;+62 818-277-112;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Mba%20Maryam&query_place_id=ChIJUacnYCTdaC4RGR1bsXkTCzQ;Toko Kelontong Asia;;;;;
Warung Bang Hakim;5;1;Jl. Kusuma Lestari No.41;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Bang%20Hakim&query_place_id=ChIJjavgdgDdaC4RoLLg4tvzOok;Toko;;;;;
Warung Azkia;5;3;3M7F+MG6, Jl. Parakan Saat III;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Azkia&query_place_id=ChIJgdF3Y_PDaC4RYCMtX-FUXLs;Toko;;;;;
Warung Pak Maman / Ceu Tete;;;Jl. Cijambe No.43;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Pak%20Maman%20%2F%20Ceu%20Tete&query_place_id=ChIJDYdnd4HdaC4RxeAxmWP9Ekg;Toko Kelontong Asia;;;;;
Toko Sembako K - Laksana;5;2;Jl. Cigending No.54;Kota Bandung;Jawa Barat;ID;;+62 821-2135-5567;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20K%20-%20Laksana&query_place_id=ChIJmbf1HADdaC4RZ6Xn0OWvAXU;Toko Kelontong Asia;;;;;
TOKO FAJAR;5;6;2MQ7+PMR, Jl. Ciwastra;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20FAJAR&query_place_id=ChIJ3eWgDzDpaC4R0NPjS-UGGYk;Toko Kelontong Asia;;;;;
Warung Bu Wayan ( Warung Bali );4.9;11;Jl. Kuningan V No.30;Kota Bandung;Jawa Barat;ID;;+62 813-2440-0681;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Bu%20Wayan%20(%20Warung%20Bali%20)&query_place_id=ChIJRQLaGvrnaC4RllyiQ521BV4;Toko;;;;;
Toko Obay;4.5;2;3M8H+WQG, Jl. Cisaranten Kulon;Kota Bandung;Jawa Barat;ID;;;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Obay&query_place_id=ChIJfeBwN67CaC4RAHsKN8su750;Minimarket;;;;;
Warung Kelontong Bu Ade;;;Jl. Cisaranten Kulon no. 49 b, Gg. H. Zakaria No.RT 02/02;Kota Bandung;Jawa Barat;ID;;+62 899-8930-794;Produsen makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Kelontong%20Bu%20Ade&query_place_id=ChIJGXX3xLbDaC4RiuVj9qStENw;Produsen makanan;;;;;
Warung Rival;;;Jl. Cigending No.54;Kota Bandung;Jawa Barat;ID;;+62 821-2878-9373;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Rival&query_place_id=ChIJiXC1M8rdaC4Rd_x8Sxao8MI;Toko Kelontong Asia;;;;;
Warung Tante Geulis;;;Jl. Cilengkrang II Kelurahan No.100 Blk. N-O, RT.003/RW.002;Kabupaten Bandung;Jawa Barat;ID;;+62 857-9719-7588;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Tante%20Geulis&query_place_id=ChIJFaBmyoDdaC4R4RWFmdqhWZQ;Toko Kelontong Asia;;;;;
Warung Sembako Anissa;;;gedebage,rancanumpang,masuk gang mesjid al ikhwan RT02/RW01;Kota Bandung;Jawa Barat;ID;;+62 857-5957-4099;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Anissa&query_place_id=ChIJ61_xlWjDaC4RrKu59alDY48;Toko;;;;;
warung kelontong Bapak Ilyas;;;Jl. Cicukang kidul No.146;Kota Bandung;Jawa Barat;ID;;;Warung Makanan Kecil;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=warung%20kelontong%20Bapak%20Ilyas&query_place_id=ChIJe-2ZKBHdaC4RGMGNRKCqULw;Warung Makanan Kecil;;;;;
Toko Ali 94;5;1;Jl. Cipamokolan No.47;Kota Bandung;Jawa Barat;ID;https://shopee.co.id/snackali94;+62 821-2643-2460;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Ali%2094&query_place_id=ChIJl1k3tnzDaC4RZKBZwvVdt5A;Toko Kelontong Asia;;;;;
Toko Khan Abadi;3.8;123;Jl. Soekarno-Hatta No.697;Kota Bandung;Jawa Barat;ID;;+62 22 7314360;Grosir Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Khan%20Abadi&query_place_id=ChIJs-aeURroaC4RuLeD7PFPqI0;Grosir Barang Kelontong;;;;;
Warung Bu Tuti;;;Jl. Rancabolang No.48;Kota Bandung;Jawa Barat;ID;;;Grosir Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Bu%20Tuti&query_place_id=ChIJreiDH3fpaC4RdQNOQNuUnVM;Grosir Barang Kelontong;;;;;
Warung Sembako Bu Yuningsih;;;3PJG+34G, Jl. Cikuda;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Bu%20Yuningsih&query_place_id=ChIJ-X5g5jrdaC4RDjIzvVVnkn8;Toko bahan makanan;;;;;
Warung Emon;5;6;;Kota Bandung;Jawa Barat;ID;;+62 821-1797-2892;Toko grosir;Toko Makanan;Toko Minuman Bersoda;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Emon&query_place_id=ChIJqYzv2RHnaC4Ruxx4lO_Alps;Toko grosir;;;;;
Toko kelontong;1;1;samping Alfamidi, Jl. Cimincrang Raya No.7;Kota Bandung;Jawa Barat;ID;;+62 813-2065-4968;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20kelontong&query_place_id=ChIJn3RkhJbDaC4R8yszK2BZbi0;Toko bahan makanan;;;;;
Warung Kelontong Pak Ended;5;4;Cikoang Kaler RT 02 RW 03 No.30;Kota Bandung;Jawa Barat;ID;;+62 857-2235-0599;Toko Makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Kelontong%20Pak%20Ended&query_place_id=ChIJ42NqD3_daC4RsiLAQ6hVNWs;Toko Makanan;;;;;
Toko sembako 79;5;1;Jln RSUD ujung Berung No.105;Kota Bandung;Jawa Barat;ID;;+62 895-3515-67171;Grosir Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20sembako%2079&query_place_id=ChIJvwGihpHdaC4RUX6FN494ELk;Grosir Barang Kelontong;;;;;
Toko Barokah;4.1;13;Depan Komplek DPRD, Jl. Marga Asih No.55;Kota Bandung;Jawa Barat;ID;;;Grosir;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Barokah&query_place_id=ChIJg5Y-qjroaC4R6c6SBvAe0J0;Grosir;;;;;
Toko Putri kelontong;5;1;Jl. Kawaluyaan Raya No.4, RT.006/006;Kota Bandung;Jawa Barat;ID;;+62 857-2232-2252;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Putri%20kelontong&query_place_id=ChIJ4Zx1nhzoaC4Rja2Zu-Ar_wM;Toko Kelontong Asia;;;;;
Toko Gandapura;4.6;13;Jl. Cibatu Raya No.70;Kota Bandung;Jawa Barat;ID;;;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Gandapura&query_place_id=ChIJO21NivnnaC4RrlWQRLTkke4;Minimarket;;;;;
Warung Sahabat;4;1;Jl. Manisi No.44;Kota Bandung;Jawa Barat;ID;;+62 853-2050-6694;Grosir;Toko umum;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sahabat&query_place_id=ChIJ10mMZijDaC4RQ_R0VO1uy7A;Grosir;;;;;
Toko Jajawayy;4.5;31;Jl. Jajaway Timur VIII No.28, RT.02/RW.18;Kota Bandung;Jawa Barat;ID;;+62 22 7215817;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Jajawayy&query_place_id=ChIJRwx0xgDoaC4RNdsxu1Hd8Zg;Toko Kelontong Asia;;;;;
Toko Kelontong Pa Kumis 2;4.9;7;Jl. Pesantren, RT.02/RW.011;Kota Bandung;Jawa Barat;ID;https://grab.onelink.me/2695613898?pid=inappsharing&c=6-C3ABR6LVL7AJT2&is_retargeting=true&af_dp=grab%3A%2F%2Fopen%3FscreenType%3DGRABMART%26sourceID%3DA4pcqCZkS4%26merchantIDs%3D6-C3ABR6LVL7AJT2&af_force_deeplink=true&af_web_dp=https%3A%2F%2Fwww.grab.com%2Fdownload;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Kelontong%20Pa%20Kumis%202&query_place_id=ChIJi1ARv5bdaC4RY-DozGjTIrQ;Toko bahan makanan;;;;;
Toko Bu Een Cimencrang;5;2;;Kota Bandung;Jawa Barat;ID;;+62 852-2216-8899;Toko bahan makanan;Layanan Transfer Uang;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Bu%20Een%20Cimencrang&query_place_id=ChIJp_ZMDNvCaC4RUkdidwaq5dM;Toko bahan makanan;;;;;
Warung Kasturi;4.7;6;Jl. Kawali Raya No.14;Kota Bandung;Jawa Barat;ID;;+62 838-2282-2666;Toko Daging;Toko Kelontong Asia;Toko Ikan;Toko Buah dan Sayuran;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Kasturi&query_place_id=ChIJzxobKPjnaC4RBfYulurOhao;Toko Daging;;;;;
Toko Mawar Inti;4.5;11;Jl. Parakansaat ll No.21;Kota Bandung;Jawa Barat;ID;;+62 812-3562-1337;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Mawar%20Inti&query_place_id=ChIJHRxy8qfCaC4R8ZEiJ1_uzrY;Toko Kelontong Asia;;;;;
Warung sembako al barokah;5;1;Jl. Jatisari Ⅰ No.38;Kota Bandung;Jawa Barat;ID;;+62 898-6039-868;Toko Swalayan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%20al%20barokah&query_place_id=ChIJr6YJnKvpaC4Rs0AJqXgUZhM;Toko Swalayan;;;;;
Warung Berkah Kelontongan Dan Sayuran;;;Jl. Nagrog No.31;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Berkah%20Kelontongan%20Dan%20Sayuran&query_place_id=ChIJL8JQPSHdaC4R9_zmyRx3lk4;Toko bahan makanan;;;;;
Warung Inara;;;Jl. Cijambe No.43, RT.05/RW.06;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Inara&query_place_id=ChIJ1ZEvokXdaC4RK96TAmAQEcE;Toko Kelontong Asia;;;;;
Toko Sembako Teratai;5;2;Jl. Teratai VIII No.9;Kota Bandung;Jawa Barat;ID;;+62 812-1489-8993;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Teratai&query_place_id=ChIJ6YqGf5bDaC4Rw6VH0MOzIqo;Toko Kelontong Asia;;;;;
Warung Sayuran dan sembako Mba Roy;5;4;3M75+GVH, Jl. Kawaluyaan Gang Kawaluyaan V, RT.05/RW.06;Kota Bandung;Jawa Barat;ID;;+62 896-9498-9163;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sayuran%20dan%20sembako%20Mba%20Roy&query_place_id=ChIJBb8uH53paC4R_7vqBP5_50g;Pusat Perbelanjaan;;;;;
Warung Kuyy;;;Jl. Sindangsari No.99;Kota Bandung;Jawa Barat;ID;;+62 899-0775-389;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Kuyy&query_place_id=ChIJz6rL-ADdaC4Re7673Tk9psg;Toko Kelontong Asia;;;;;
Warung Sembako Bu'cin;5;1;udapapCi;Kota Bandung;Jawa Barat;ID;;+62 831-5310-1153;Grosir Beras;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Bu'cin&query_place_id=ChIJ2anq3arDaC4RX1DJP7GH3n4;Grosir Beras;;;;;
Kaka grosir dan warung sembako;5;2;Gg. Kawaluyaan III No.70a, RT.07/RW.06;Kota Bandung;Jawa Barat;ID;;+62 895-2350-7105;Grosir;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kaka%20grosir%20dan%20warung%20sembako&query_place_id=ChIJF4iYD3npaC4Rae4iB8Kh9cs;Grosir;;;;;
Toko Sembako Barokah;5;7;Jl. Pasir;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Barokah&query_place_id=ChIJAT_n_gLnaC4RbIN6H_WjTIU;Toko bahan makanan;;;;;
SAHABAT JAYA;5;8;Jl. Cijambe No.5;Kota Bandung;Jawa Barat;ID;;+62 823-2177-8286;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=SAHABAT%20JAYA&query_place_id=ChIJY99dB9rdaC4RAvNbfiu3rXM;Toko Kelontong Asia;;;;;
Warung Kelontong Shasa;;;Grand PKJ, Blk. H2 No.11;Kota Bandung;Jawa Barat;ID;;+62 899-0377-319;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Kelontong%20Shasa&query_place_id=ChIJzXZdFgDdaC4Rf6tySUL_Fhw;Toko;;;;;
Warung kelontong by jingga;;;ruko warna biru, Komplek Bumi Panyileukan Blok i9 no. 14 Rt. 09 Rw. 08. Kel. Cipadung kidul, depan stasion kereta api;Kota Bandung;Jawa Barat;ID;;+62 895-6007-13500;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20kelontong%20by%20jingga&query_place_id=ChIJlX9hE-TDaC4RQXAk143McNc;Toko;;;;;
Toko Surabaya;5;3;Jl. Babakan Sari No.47;Kota Bandung;Jawa Barat;ID;;+62 878-7874-4334;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Surabaya&query_place_id=ChIJF31Bs-LnaC4ROFNqAmdsxmQ;Toko Kelontong Asia;;;;;
TOKO ROSA;4.5;112;Jl. Tata Surya Margahayu Raya No.93;Kota Bandung;Jawa Barat;ID;;+62 22 7502810;Toko Swalayan;Toko;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20ROSA&query_place_id=ChIJEdDc-CDoaC4RTl-umOoR7U0;Toko Swalayan;;;;;
Toko Grosir dan Eceran Sembako M.A;5;3;Jl. Ciwastra;Kota Bandung;Jawa Barat;ID;;+62 812-7448-8506;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Grosir%20dan%20Eceran%20Sembako%20M.A&query_place_id=ChIJcfv1cgDpaC4RTZj_540YefI;Toko bahan makanan;;;;;
