"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"Seblak SR","4.8","36","Jl. Ganesha No.6","Kota Bandung","Jawa Barat","ID","https://shopee.co.id/seblak-sr-itb-(instan)-gerbang-seni-rupa-itb-i.310768080.3853006105?sp_atk=f5ae9424-387d-4cbe-ba8e-6c13f50c0cd5&xptdk=f5ae9424-387d-4cbe-ba8e-6c13f50c0cd5","+62 819-1053-0094","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20SR&query_place_id=ChIJSYLs5lDmaC4Rqvs_fbYSLnY","Restoran seblak"
"Seblak Bengkel","4.7","100",,"Kota Bandung","Jawa Barat","ID",,"","Restoran seblak","Kafe",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Bengkel&query_place_id=ChIJXWD0GOTmaC4R5mDrKfYCERc","Restoran seblak"
"Seblak Kameumeut","4.7","287",,"Kota Bandung","Jawa Barat","ID",,"","Kafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Kameumeut&query_place_id=ChIJecM6iuXmaC4R253X6uactLk","Kafe"
"Seblak prasmanan teh ulan","5","23","Jl. Siliwangi Dalam IV No.18","Kota Bandung","Jawa Barat","ID",,"+62 838-5097-0631","Rumah Makan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20prasmanan%20teh%20ulan&query_place_id=ChIJKdKpRwDnaC4RF98sPii4tVU","Rumah Makan"
"Seblak Seuhah Bagusrangin","5","14","Jl. H. Hasan No.19","Kota Bandung","Jawa Barat","ID",,"+62 813-9477-0349","Restoran Martabak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Seuhah%20Bagusrangin&query_place_id=ChIJSwl2RmHnaC4RKIU528mXzPM","Restoran Martabak"
"Seblak Winar","4.5","105","Jl. Gelatik No.81","Kota Bandung","Jawa Barat","ID",,"","Restoran Sunda","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Winar&query_place_id=ChIJt13iRq3naC4RPJ0xmixb1eg","Restoran Sunda"
"seblak bandung 313","5","1","4JMC+GH7, Jl. Dago Elos I","Kota Bandung","Jawa Barat","ID",,"","Pujasera","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=seblak%20bandung%20313&query_place_id=ChIJdXOwAeDmaC4RyPrS8qh0OFA","Pujasera"
"Seblak Mang Aru","4.3","628","Jl. Gagak No.9 A","Kota Bandung","Jawa Barat","ID",,"+62 811-2208-919","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Mang%20Aru&query_place_id=ChIJoVoEjbLnaC4R-nQBFBw_MEE","Restoran seblak"
"Warung Seblak Umi Nabilla","4.9","240","Jl. Siliwangi Dalam IV kel, RT.06/RW.01","Kota Bandung","Jawa Barat","ID",,"+62 895-3754-66982","Restoran Sunda","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Seblak%20Umi%20Nabilla&query_place_id=ChIJbcwVxeLnaC4R6n_6KPEQMag","Restoran Sunda"
"Seblak SP Prasmanan Dipatiukur","4.7","129","Jl. Dipati Ukur No.66a","Kota Bandung","Jawa Barat","ID",,"+62 851-1990-5841","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20SP%20Prasmanan%20Dipatiukur&query_place_id=ChIJCfwlVa_naC4RHptmKjI-CUs","Restoran"
"Seblak SP Prasmanan Ciumbuleuit","4.8","590","Jl. Ciumbuleuit No.34","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/seblaksp.prasmanan","+62 851-1706-9860","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20SP%20Prasmanan%20Ciumbuleuit&query_place_id=ChIJFz0kdV_naC4R2XFM6vMFHfg","Restoran"
"Batagor Imam Bonjol","3.8","5","Dapur Kita, Jl. Imam Bonjol No.9","Kota Bandung","Jawa Barat","ID",,"+62 853-2042-4780","Toko Makanan Sehat",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Imam%20Bonjol&query_place_id=ChIJL831e1HmaC4R03eLDdWO8YE","Toko Makanan Sehat"
"Batagor Robi Jl.jurang","2","2","Jl. Jurang No.92","Kota Bandung","Jawa Barat","ID",,"","Kafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Robi%20Jl.jurang&query_place_id=ChIJG5EGttPnaC4RRbOzneFX8qs","Kafe"
"Seblak Tulang Sultan","4.9","89","Jl. Teuku Umar No.27/60","Kota Bandung","Jawa Barat","ID",,"+62 813-3742-4447","Restoran Mie","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Tulang%20Sultan&query_place_id=ChIJnaojpXPnaC4Rmb6jwDmZ1Oc","Restoran Mie"
"Batagor Robi","3.5","2","Jl. Kb. Kembang No.3","Kota Bandung","Jawa Barat","ID",,"","Restoran Sunda","Pujasera",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Robi&query_place_id=ChIJ8UVnZ17naC4RjZvrjHaLycs","Restoran Sunda"
"Batagor Kiwari","4.9","35","Jl. Tikukur No.17","Kota Bandung","Jawa Barat","ID",,"+62 813-2234-5689","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Kiwari&query_place_id=ChIJE9kihsfnaC4RwGybf7VtR7Y","Restoran"
"Seblak Sultan","4.3","1883","Jl. Sultan Agung No.10","Kota Bandung","Jawa Barat","ID",,"+62 821-2987-7744","Restoran seblak","Restoran Bakso","Restoran Sunda",,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Sultan&query_place_id=ChIJIQFoHUnmaC4R4-O4FtTDTtU","Restoran seblak"
"Batagor Neng Dya Azzam","5","15","Jl. Dr. Djunjunan No.139","Kota Bandung","Jawa Barat","ID",,"","Kedai Hidangan Penutup",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Neng%20Dya%20Azzam&query_place_id=ChIJH7VyEgDnaC4RamewB_XEtcE","Kedai Hidangan Penutup"
"Batagor Sari","4.2","24","Jl. Dr. Djunjunan No.43","Kota Bandung","Jawa Barat","ID",,"+62 852-2129-0571","Restoran Sunda","Rumah Makan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Sari&query_place_id=ChIJAVH2BGbmaC4Rk9_MkL-4fhs","Restoran Sunda"
"Batagor Isola","5","2","4HPR+7VJ, Jl. Gegerkalong Hilir","Kota Bandung","Jawa Barat","ID",,"","Restoran Sunda",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Isola&query_place_id=ChIJf3I9gL7maC4RLt0EtCypvns","Restoran Sunda"
"Sam's Strawberry Corner","4.4","1421","Jl. Ir. H. Juanda No.112","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/samsstrawberrycorner/","","Restoran Mie","Kafe","Restoran Sunda","Restoran Masakan Barat",,,,,"https://www.google.com/maps/search/?api=1&query=Sam's%20Strawberry%20Corner&query_place_id=ChIJe7U3z_zmaC4RZu77cTS0zh0","Restoran Mie"
"BATAGOR ""AYU""","4.8","18",,"Kota Bandung","Jawa Barat","ID",,"+62 821-1583-5048","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BATAGOR%20%22AYU%22&query_place_id=ChIJqcvAec7naC4RGeNxwyLGyOw","Restoran"
"Batagor Cep Anom","5","11","4M3P+8X9","Kota Bandung","Jawa Barat","ID",,"","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Cep%20Anom&query_place_id=ChIJg1NdZKTdaC4ROQg1R4VlN9s","Restoran"
"BTS: Batagor Tahu Susu Cihampelas","5","7","3JX3+FQ4","Kota Bandung","Jawa Barat","ID",,"","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BTS%3A%20Batagor%20Tahu%20Susu%20Cihampelas&query_place_id=ChIJeVmVaADnaC4RPPECuyWE8lM","Restoran Indonesia"
"Batagor Cilor Fazar Batan","5","6","Jl. Tamansari No.71","Kota Bandung","Jawa Barat","ID",,"+62 815-7353-7082","Restoran Sunda",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Cilor%20Fazar%20Batan&query_place_id=ChIJm6QP03nnaC4RmHfgbJcDYbg","Restoran Sunda"
"Batagor Asli Juanda","4.5","10","4JMC+59X Pujasera Sembilan, Jl. Ir. H. Juanda","Kota Bandung","Jawa Barat","ID",,"+62 857-9353-0251","Restoran cepat saji","Restoran Sunda",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Asli%20Juanda&query_place_id=ChIJ6-8Z-uLmaC4RMjEpqo3tmtQ","Restoran cepat saji"
"Siomay Batagor Monumen","4.3","3","4J29+J9R, Jl. Wirayuda Barat","Kota Bandung","Jawa Barat","ID",,"+62 812-8430-9620","Restoran Sunda",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Siomay%20Batagor%20Monumen&query_place_id=ChIJ9Wlve9rnaC4RQ72LCuiczFc","Restoran Sunda"
"Batagor Hap","5","13","Jl. Kb. Bibit Utara II No.175","Kota Bandung","Jawa Barat","ID","https://batagorhap.wixsite.com/batagorbandung","+62 816-623-448","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Hap&query_place_id=ChIJ5X37S6HnaC4RRh8d-wZehvM","Restoran"
"Batagor H.Sukim","4.8","4","Jl. Cikutra No.152","Kota Bandung","Jawa Barat","ID",,"+62 817-122-820","Restoran Sunda",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20H.Sukim&query_place_id=ChIJ_5IdsTPnaC4RF0oF2Q0vBYA","Restoran Sunda"
"Batagor robi sukajadi","3.1","64","Jl. Sukajadi No.197","Kota Bandung","Jawa Barat","ID",,"+62 813-2211-1191","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20robi%20sukajadi&query_place_id=ChIJ82b5ZMznaC4RUx_333Pnl-g","Restoran"
"BATAGOR ASKRO","4.9","7","Jl. Ciumbuleuit No.65","Kota Bandung","Jawa Barat","ID",,"","Kedai Sarapan & Makan Siang",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BATAGOR%20ASKRO&query_place_id=ChIJ7YNlyPTnaC4RhAIjDrJzXMY","Kedai Sarapan & Makan Siang"
"Batagor Boss Guss","5","14","4J33+6Q8, Jl. Cihampelas","Kota Bandung","Jawa Barat","ID",,"+62 838-4007-9774","Warung Makanan Kecil",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Boss%20Guss&query_place_id=ChIJMYiTFgDnaC4Racwq_WWhbIw","Warung Makanan Kecil"
"Batagor RIRI Takeaway Only Pasteur","3.8","66","Pasteur Square, Jl. DR. Djunjunan Dalam No.135D","Kota Bandung","Jawa Barat","ID",,"","Restoran Pesan-Bawa","Restoran Halal","Restoran Indonesia","Toko Suvenir",,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20RIRI%20Takeaway%20Only%20Pasteur&query_place_id=ChIJP5H1sGTmaC4R6vRdTyt_pAk","Restoran Pesan-Bawa"
"Batagor ""Oman"" Tilil","4.6","60","Jl. Puyuh No.1","Kota Bandung","Jawa Barat","ID",,"","Restoran Sunda","Restoran Asia Tenggara",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20%22Oman%22%20Tilil&query_place_id=ChIJ64dTlbLnaC4RWjm-tod7wlE","Restoran Sunda"
"Batagor Priangan Dipatiukur","4.2","19","Jl. Dipati Ukur No.19","Kota Bandung","Jawa Barat","ID",,"","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Priangan%20Dipatiukur&query_place_id=ChIJty0CAgDnaC4R_giWcztUhOA","Restoran"
"Batagor Lucky","4.1","25","Jalan Doktor Setiabudhi No.130-134, Area Pujasera Borma Setiabudhi, Cidadap","Kota Bandung","Jawa Barat","ID",,"+62 896-1888-8891","Restoran","Makanan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Lucky&query_place_id=ChIJ46zrGZPmaC4RiMhPOZu-v1o","Restoran"
"Batagor bandung ibu yani","4.8","5","Jl. Cilimus No.06","Kota Bandung","Jawa Barat","ID",,"+62 821-1973-2246","Kedai Sarapan & Makan Siang",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20bandung%20ibu%20yani&query_place_id=ChIJbS5LPbrmaC4RqMqMmtlF9lc","Kedai Sarapan & Makan Siang"
"Cuanki BATOK dan Batagor Mie","4.9","69","Jl. Ir. H. Juanda No.357","Kota Bandung","Jawa Barat","ID",,"+62 858-8199-0296","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cuanki%20BATOK%20dan%20Batagor%20Mie&query_place_id=ChIJGcXQYLTnaC4Rx1sLI6t2Vdw","Restoran Indonesia"
"BATAGOR ANDIN Gerbang Kompleks Taman Melati, RT.1 /RW.14, Desa Cikadut, Cimeunyan","4.5","19","komplek taman melati rt","Kabupaten Bandung","Jawa Barat","ID",,"+62 818-0269-8782","Restoran Sunda",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BATAGOR%20ANDIN%20Gerbang%20Kompleks%20Taman%20Melati%2C%20RT.1%20%2FRW.14%2C%20Desa%20Cikadut%2C%20Cimeunyan&query_place_id=ChIJcywuh-DdaC4R9ttSxAXy1e0","Restoran Sunda"
"Batagor enak","5","1","Jl. Karangsari No.29","Kota Bandung","Jawa Barat","ID",,"","Kedai Sarapan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20enak&query_place_id=ChIJsTljLT_naC4RsozvAoRmTW8","Kedai Sarapan"
"Batagor Abuy","4.4","103","Jl. Cemara No.81-83, RW.Junction 8","Kota Bandung","Jawa Barat","ID",,"+62 896-6284-1005","Restoran cepat saji","Restoran Sunda",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Abuy&query_place_id=ChIJZ_l_qYzmaC4Rlmf-3z6ZUQQ","Restoran cepat saji"
"Kantin CAB (Cuanki Asli Bandung)","4.8","717","Jl. Pak Gatot II No.23","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/kantin_cab?igsh=MWc4cTgzOWRid21mbQ==","+62 822-6206-8889","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kantin%20CAB%20(Cuanki%20Asli%20Bandung)&query_place_id=ChIJs7s43pfmaC4RHiO53CF1QjM","Restoran"
"Batagor Abuy - Pasteur","4","39","Jl. Dr. Djunjunan No.45","Kota Bandung","Jawa Barat","ID","https://instagram.com/batagor.abuy?igshid=MjEwN2IyYWYwYw==","+62 813-2050-2960","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Abuy%20-%20Pasteur&query_place_id=ChIJuRNSBGbmaC4RpVzCmrHxujk","Restoran Indonesia"
