"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Apotek Mustika Farma","4.1","14","Ruko Suci Residence, Jl. Padasuka Kav. 8 / A6","Kota Bandung","Jawa Barat","ID",,"+62 22 7217131","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Mustika%20Farma&query_place_id=ChIJsQ2sq5HnaC4RK5kGCvAkjrY","Apotek"
"Klinik Utama Revita & Apotek Revita","4.3","40","Jl. Cihampelas No.73","Kota Bandung","Jawa Barat","ID",,"+62 818-0993-5005","Klinik Spesialis","Apotek",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Klinik%20Utama%20Revita%20%26%20Apotek%20Revita&query_place_id=ChIJu_2GC0TmaC4RiIoS1aAyINE","Klinik Spesialis"
"Apotek karya farma","4.5","6","Jl. Padasuka No.68","Kota Bandung","Jawa Barat","ID",,"+62 877-8944-9816","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20karya%20farma&query_place_id=ChIJXxWqU5DnaC4RS9QN-lRwjCg","Apotek"
"Apotek Medistra","4.1","9","Jl. Terusan Cikutra Baru No.20a","Kota Bandung","Jawa Barat","ID",,"+62 858-7089-4273","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Medistra&query_place_id=ChIJdWvV4aLnaC4RKKM4nnzwfR0","Apotek"
"Apotek Eyckmana","3.6","10","Jl. Sersan Bajuri No.55","Kota Bandung","Jawa Barat","ID",,"+62 22 2015515","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Eyckmana&query_place_id=ChIJobr_SbfmaC4RqH-S2D8-tYE","Apotek"
"Apotek Anyar Farma","4.2","29","Jl. Gegerkalong Girang No.100","Kota Bandung","Jawa Barat","ID",,"+62 821-2137-9135","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Anyar%20Farma&query_place_id=ChIJC9ZlqrzmaC4RbAC_oz0OhV8","Apotek"
"Apotik Kusuri","4","21","Komplek Suci Residence Ruko, Jl. Padasuka Blok A No.5","Kabupaten Bandung","Jawa Barat","ID",,"+62 22 7219660","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotik%20Kusuri&query_place_id=ChIJtWq0q5HnaC4RQLPBmKzdSr8","Apotek"
"Apotek Saka Farma Bandung","5","2","Jl. Arcamanik No.8","Kota Bandung","Jawa Barat","ID",,"+62 882-2216-6174","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Saka%20Farma%20Bandung&query_place_id=ChIJ71FUBADdaC4RUhWizroGMBk","Apotek"
"Apotek Altros Dago","4.1","16","Jl. Ir. H. Juanda No.376","Kota Bandung","Jawa Barat","ID",,"+62 22 2512599","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Altros%20Dago&query_place_id=ChIJ2c095-LmaC4RUQemrFW68JE","Apotek"
"Apotek Adika","4.1","50","Jl. Ir. H. Juanda No.306","Kota Bandung","Jawa Barat","ID",,"+62 22 2503941","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Adika&query_place_id=ChIJS7tAZPzmaC4RCuwB3Eg4s50","Apotek"
"VIVA Apotek Djuanda","4.2","55","Jl. H.Djuanda No.139","Kota Bandung","Jawa Barat","ID","https://vivaapotek.co.id/","+62 822-4633-8389","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=VIVA%20Apotek%20Djuanda&query_place_id=ChIJHyKOeQ7laC4RuJ0dE8F4_AM","Apotek"
"Apotek Romeesa","4.4","49","Jalan Padasuka. 131, Ruko No.1, RT.03/RW.04","Kota Bandung","Jawa Barat","ID",,"+62 22 87274989","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Romeesa&query_place_id=ChIJZ_UHu5rnaC4R4MX339md2AM","Apotek"
"Apotek Adora","4.7","72","Jl. Cigadung Selatan No.1A","Kabupaten Bandung","Jawa Barat","ID","https://adoraeducare.my.canva.site/","+62 813-9459-7073","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Adora&query_place_id=ChIJzS7hD6rnaC4RL1S2pdJAohQ","Apotek"
"Apotek Cemara","4.3","53","Jl. Karang Tinggal No.41B","Kota Bandung","Jawa Barat","ID",,"+62 22 2042298","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Cemara&query_place_id=ChIJYeYaQGDmaC4R1FZiPLhDokM","Apotek"
"Apotek Yabes","3.2","32","Jl. Dr. Djunjunan No.119","Kota Bandung","Jawa Barat","ID","https://www.tokopedia.com/apotekoptikyabes","+62 851-0049-3131","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Yabes&query_place_id=ChIJBQTl5WTmaC4R9nB_HBgxHAI","Apotek"
"Apotek Sadang Serang","4.1","76","Jl. Sadang Serang No.51","Kota Bandung","Jawa Barat","ID",,"+62 22 2503324","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Sadang%20Serang&query_place_id=ChIJRVZhX6rnaC4ROkA3pJQECoM","Apotek"
"Apotek Sukagalih","4.1","14","Jl. Sukagalih No.110","Kota Bandung","Jawa Barat","ID",,"+62 855-2074-2939","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Sukagalih&query_place_id=ChIJ6fG6JiLnaC4RzAEMTezvSDE","Apotek"
"Apotek Panghegar 2","2.7","9","Jl. Jatihandap No.68","Kota Bandung","Jawa Barat","ID",,"+62 22 63725248","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Panghegar%202&query_place_id=ChIJD5VfYEvnaC4RZGdXWQCNiec","Apotek"
"Apotek Beauderma","4.7","15","Jl. Surapati No.17","Kota Bandung","Jawa Barat","ID",,"+62 812-2112-0035","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Beauderma&query_place_id=ChIJ2XdLck7maC4Ri1hQn8s9jyA","Apotek"
"Apotek Sukma Jaya","4.5","37","Jl. Sukahaji No.135 D","Kota Bandung","Jawa Barat","ID",,"+62 812-2227-63464","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Sukma%20Jaya&query_place_id=ChIJYwCy1qXnaC4RFnQWFRJKkNw","Apotek"
"Apotek Fazza Tikukur","4.4","39","Jl. Tikukur No.30 B","Kota Bandung","Jawa Barat","ID",,"+62 821-1441-7887","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Fazza%20Tikukur&query_place_id=ChIJye77L7XnaC4RFE3tVT_ZxAw","Apotek"
"Apotek Keluarga Kita","3.7","29","No.15 no A, Komplek Ruko Setrasari Megasquare, Jl. Terusan Sutami","Kota Bandung","Jawa Barat","ID",,"+62 813-6788-8568","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Keluarga%20Kita&query_place_id=ChIJDVrF4yTnaC4RWC-WuscMB84","Apotek"
"Jurang 91 - Bandung","5","3","Jl. Jurang No.91","Kota Bandung","Jawa Barat","ID",,"","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jurang%2091%20-%20Bandung&query_place_id=ChIJa5lHfvXmaC4RfRbQTAJMWXc","Apotek"
"Apotek eL Luna Farma","5","8","Jl. Padasuka No.26","Kota Bandung","Jawa Barat","ID","https://instagram.com/el_luna_farma?igshid=NzZhOTFlYzFmZQ==","+62 877-6110-0285","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20eL%20Luna%20Farma&query_place_id=ChIJTXHaf5HnaC4RetgnxpI9__s","Apotek"
"Kimia Farma Ciumbuleuit","4.7","178","Jl. Ciumbuleuit No.73","Kota Bandung","Jawa Barat","ID","http://kimiafarmaapotek.co.id/","+62 811-2157-667","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kimia%20Farma%20Ciumbuleuit&query_place_id=ChIJHYhAX_HmaC4RmSbF0xZ5uM8","Apotek"
"Klinik dan Apotek TelkoMedika Sentot Bandung","4.5","108","Jl. Sentot Alibasyah No.2","Kota Bandung","Jawa Barat","ID","https://www.telkomedika.co.id/","+62 811-1150-0115","Klinik Medis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Klinik%20dan%20Apotek%20TelkoMedika%20Sentot%20Bandung&query_place_id=ChIJMcJewdHnaC4R8B_9EtO6bHY","Klinik Medis"
"Apotek Mentari Sehat","4.2","26","Jl. Pasir Impun No.1","Kota Bandung","Jawa Barat","ID",,"+62 22 70974400","Apotek","Grosir",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Mentari%20Sehat&query_place_id=ChIJl3MSvWbdaC4R4EiiSkWCDE8","Apotek"
"Asih Apotek",,,"Jl. Cipaganti No. 79 Pasteur Sukajadi Bandung Jawa Barat","Kota Bandung","Jawa Barat","ID",,"+62 22 2032405","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Asih%20Apotek&query_place_id=ChIJd87JoormaC4Rn2BMNjYLprU","Apotek"
"Apotik Mama","2.9","131","Jl. Sukamaju Dalam No.44","Kota Bandung","Jawa Barat","ID",,"+62 22 2035461","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotik%20Mama&query_place_id=ChIJd87JoormaC4RrdwUBgohzvE","Apotek"
"Apotek pahlawan bandung","4.5","2","Jl. Pahlawan No.064, RT.003/RW.001","Kota Bandung","Jawa Barat","ID",,"+62 851-6771-7003","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20pahlawan%20bandung&query_place_id=ChIJzSLQQQDnaC4RA3DyCVuCKvU","Apotek"
"Eyckman Apotek","4.8","4","Jl. Sampurna No.26 A","Kota Bandung","Jawa Barat","ID",,"+62 22 2037471","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Eyckman%20Apotek&query_place_id=ChIJd87JoormaC4RDrTH-vAmVCM","Apotek"
"Apotek Asri","5","49","Jl. Rereongan Sarupi No.25","Kota Bandung","Jawa Barat","ID","https://www.apotek-k24.com/","+62 813-8002-4858","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Asri&query_place_id=ChIJ4UKaIR3naC4R0WBFqhT5rXI","Apotek"
"Apotek Kehidupan","5","2","Balubur Town Square, Jl. Tamansari Blok A No.09 Lantai 1","Kota Bandung","Jawa Barat","ID",,"","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Kehidupan&query_place_id=ChIJqVGtbEXmaC4RGUjFxqE2WvY","Apotek"
"Apotek Dhe Farma","4.4","36","Jl. Sukahaji No.90","Kota Bandung","Jawa Barat","ID",,"+62 852-1649-6040","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Dhe%20Farma&query_place_id=ChIJ6d8siWvnaC4RKjXhPF-_BQ4","Apotek"
"Apotek Bunda Bidara","3.8","24","Jl. Titiran No.24","Kota Bandung","Jawa Barat","ID",,"+62 812-2203-6032","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Bunda%20Bidara&query_place_id=ChIJv_ZkrEjnaC4RVKUbuF6e918","Apotek"
"APOTEK TRENDS MEDIKA","4.4","9","Ruko grand panoramic no, Jl. Pasir Impun No.39 kav R3","Kota Bandung","Jawa Barat","ID",,"+62 812-8688-0930","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=APOTEK%20TRENDS%20MEDIKA&query_place_id=ChIJu8jT-ErdaC4R5yaedf2tDBM","Apotek"
"Apotek Bhakti Farma","3.9","12","Jl. Sukagalih No.4","Kota Bandung","Jawa Barat","ID",,"+62 22 2035975","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Bhakti%20Farma&query_place_id=ChIJ035CTGfmaC4RQT6NNG_0LTM","Apotek"
"Apotek Sederhana","3.2","53","Jl. Sederhana No.77","Kota Bandung","Jawa Barat","ID","https://www.honestdocs.id/apotik/apotek-sederhana-bandung","+62 22 2030551","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Sederhana&query_place_id=ChIJQVrpkl3maC4Rlh1MMP4og5k","Apotek"
"Apotek Mirah","3.7","3","Jl. Batik Saketi No.2","Kota Bandung","Jawa Barat","ID",,"+62 22 2500478","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Mirah&query_place_id=ChIJaQJppa_naC4RUZzpJyTZOHY","Apotek"
"Apotek Vivi Farma","4.5","2","Jl. Sirnamanah No.3","Kota Bandung","Jawa Barat","ID",,"+62 22 2031687","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Vivi%20Farma&query_place_id=ChIJ_XFyBWDmaC4RR8LoU0d6Hhw","Apotek"
"Apotek Bukit Permata","4.6","25","Jl. Ciumbuleuit No.57","Kota Bandung","Jawa Barat","ID","https://www.honestdocs.id/apotik/apotek-bukit-permata-bandung","+62 896-5262-2818","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Bukit%20Permata&query_place_id=ChIJmyRI3vPmaC4R3U0kZywlbSA","Apotek"
"Apotek Girie Farma","3.8","15","Jl. Simpay Asih","Kota Bandung","Jawa Barat","ID",,"","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Girie%20Farma&query_place_id=ChIJw73KB5rdaC4Rjbtc1T1N4cg","Apotek"
"Apotik Kombi Sukajadi","4.4","37","Jl. Sukajadi No.7","Kota Bandung","Jawa Barat","ID",,"","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotik%20Kombi%20Sukajadi&query_place_id=ChIJMzOZfCTnaC4RT58f6_3e0nk","Apotek"
"Bandung Perdana Medikatama. PT","4.5","2","Jl. Dr. Setiabudi No.187","Kota Bandung","Jawa Barat","ID",,"+62 22 2010893","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bandung%20Perdana%20Medikatama.%20PT&query_place_id=ChIJnbDFIL7maC4RO1FpPngs6i4","Apotek"
"Apotek Poliklinik IRFINA","4.5","4","Jl. Alpina No.2","Kota Bandung","Jawa Barat","ID",,"","Toko Obat","Apotek",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Poliklinik%20IRFINA&query_place_id=ChIJmwQ7B_vmaC4RQ0goo85mQzk","Toko Obat"
"Apotek Mara Farma","5","27","Jl. Cemara No.57","Kota Bandung","Jawa Barat","ID",,"+62 822-1892-9157","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Mara%20Farma&query_place_id=ChIJhdf0vw_naC4R9XmJoS7LWsE","Apotek"
"Apotek Setiabudhi","4.1","43","Jalan Dokter Setiabudhi. 170-D2, Hegarmanah, Sukasari","Kota Bandung","Jawa Barat","ID",,"+62 2038212","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Setiabudhi&query_place_id=ChIJMdifeJPmaC4RuhUwtvRUX3w","Apotek"
"apotek teguh farma","3","4","Balubur Town Square, Jl. Tamansari D2 P26","Kota Bandung","Jawa Barat","ID",,"+62 22 84468885","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=apotek%20teguh%20farma&query_place_id=ChIJleAHakXmaC4Rt_ugFqa4QBs","Apotek"
"Apotek Kurnia Farma Sehat","4.6","95","Jl. Cemara No.9, RW.01","Kota Bandung","Jawa Barat","ID","https://www.gragazpharmacy.com/","+62 856-2481-9886","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Kurnia%20Farma%20Sehat&query_place_id=ChIJdw-suGXnaC4RVfFYM29TXwk","Apotek"
"Apotek Bona Farma","3.8","134","Jl. Dr. Setiabudi No.170J","Kota Bandung","Jawa Barat","ID",,"+62 22 2034333","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Bona%20Farma&query_place_id=ChIJHbwof5TmaC4RzaX7xG8Ktj4","Apotek"
"Apotek Hey Farma","4","77","Jl. Cikondang No.5, RT.03/RW.20","Kota Bandung","Jawa Barat","ID","http://www.hey-farma.com/","+62 821-2034-3537","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Hey%20Farma&query_place_id=ChIJgdjxq2rnaC4R5R2IxF5ihiI","Apotek"
"APOTEK ANANDA","2.6","5","Jl. Surapati No.99","Kota Bandung","Jawa Barat","ID",,"","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=APOTEK%20ANANDA&query_place_id=ChIJhbevVbLnaC4RZNu13Rb3224","Apotek"
"Rumah Sakit Kartini Bandung","4.2","573","Jl. Pahlawan No.48","Kota Bandung","Jawa Barat","ID","http://rskartini.id/","+62 22 7200715","Klinik Medis","Dokter","Laboratorium Diagnosis Citra Medis","Laboratorium Medis","Apotek",,,,,,"https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Kartini%20Bandung&query_place_id=ChIJ64eVP6XnaC4R1qEbO2TOwGM","Klinik Medis"
"Apotek Mitra Sehati","5","7","Jl. Sadang Serang No.28","Kota Bandung","Jawa Barat","ID",,"+62 895-2728-1926","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Mitra%20Sehati&query_place_id=ChIJ6Yz8COTnaC4R9gsAOFDiNME","Apotek"
"Apotek Baladewa Farma 3","4.3","108","Jl. Gegerkalong Hilir No.66","Kota Bandung","Jawa Barat","ID","https://linktr.ee/baladewafarma3","+62 822-5751-1683","Apotek","Toko obat grosir",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Baladewa%20Farma%203&query_place_id=ChIJvfpBCyDnaC4RzSXmRbmRWYE","Apotek"
"Wuling Maju Motor Bandung","4.6","204","Jl. Dr. Setiabudi No.43","Kota Bandung","Jawa Barat","ID","https://wulingmajumotor.id/bandung/","+62 22 82045555","Dealer mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wuling%20Maju%20Motor%20Bandung&query_place_id=ChIJSVbIMinnaC4Rv4a2T6kzhT8","Dealer mobil"
"bengkel motor Team Rusuh97","5","2","Jl. Cikutra Barat No.97, RT.06/RW.06","Kota Bandung","Jawa Barat","ID",,"+62 821-1646-9237","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20motor%20Team%20Rusuh97&query_place_id=ChIJ12NBda7naC4RGQ6ldEec4X0","Bengkel Sepeda Motor"
"Bengkel Motor Mabez Garage","5","13","Jl. Muhamad No.320 B","Kota Bandung","Jawa Barat","ID",,"+62 857-0359-9250","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Mabez%20Garage&query_place_id=ChIJh_obhvrnaC4Rw5kcNo9foL4","Bengkel Sepeda Motor"
"Kimia Farma Apotek","4.8","295","Jl. Dr. Setiabudi No.36","Kota Bandung","Jawa Barat","ID","http://kimiafarmaapotek.co.id/","+62 811-2157-660","Apotek","Klinik Kesehatan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kimia%20Farma%20Apotek&query_place_id=ChIJVz3AcPTmaC4RUpGLJKh0R28","Apotek"
"Apotek Kimia Farma Pasir Kaliki","4.7","460","Jl. Pasir Kaliki No.235","Kota Bandung","Jawa Barat","ID","http://kimiafarmaapotek.co.id/","+62 811-2157-645","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Kimia%20Farma%20Pasir%20Kaliki&query_place_id=ChIJswEwMZboaC4RVtHOiQmuC2I","Apotek"
"Jatihandap Motor","4.1","8","Jl. H. Saodah No.147, RT.2/RW.08","Kota Bandung","Jawa Barat","ID",,"+62 852-2093-2222","Bengkel Sepeda Motor","Toko Suku Cadang Motor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jatihandap%20Motor&query_place_id=ChIJbVSujI_naC4Rpmlq9PSZwO4","Bengkel Sepeda Motor"
