"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"Atme Coffee - Bandung","3.7","3","Jl. Padasaluyu No.10","Kota Bandung","Jawa Barat","ID",,"+62 851-3809-2208","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Atme%20Coffee%20-%20Bandung&query_place_id=ChIJdU0_K-nnaC4RRC7yQPoeFNg","Kedai Kopi"
"Depresso Kopi Bandung","4.8","8","Jl. Tamansari No.51a","Kota Bandung","Jawa Barat","ID",,"+62 895-8024-36293","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Depresso%20Kopi%20Bandung&query_place_id=ChIJ6ShbgGfpaC4RpdAPfX3ZDlU","Kedai Kopi"
"Blond the bakery","4.6","283","Jl. Imam Bonjol No.27","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/blondthebakery","","Toko Roti",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Blond%20the%20bakery&query_place_id=ChIJf2-96yTnaC4RiN5nb7kqZAw","Toko Roti"
"Warung Kopi Rosid","4.8","29","Jl. Cigadung Raya Tengah No.40","Kota Bandung","Jawa Barat","ID","http://instagram.com/warungkopirosid","","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Kopi%20Rosid&query_place_id=ChIJETRI4f7naC4Rcb6q7Qmbtyo","Kedai Kopi"
"Kedjora Coffee Bandung",,,"Jl. Cikapayang No.3","Kota Bandung","Jawa Barat","ID",,"+62 812-1201-8602","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedjora%20Coffee%20Bandung&query_place_id=ChIJQ-hwek7paC4RSLdFd1V7jxM","Kedai Kopi"
"Sunday Coffee","4.8","197","Setrasari Plaza B - 12","Kota Bandung","Jawa Barat","ID","https://desty.menu/sunday-coffee-setrasari-plaza?utm_source=gmap&utm_medium=gmap","+62 812-2087-8898","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sunday%20Coffee&query_place_id=ChIJJRvKXC3naC4RIVvx3R-3FY4","Kedai Kopi"
"Kedai Kopi Kalem","5","43","Jl. Prof. drg. Soeria Soemantri No.49","Kota Bandung","Jawa Barat","ID",,"+62 815-8346-583","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Kopi%20Kalem&query_place_id=ChIJQx2Bu3znaC4RRht5QJuaK2c","Kedai Kopi"
"Kopi Dynamic Bandung","4.8","14","Gg. Abah Halim No.54","Kota Bandung","Jawa Barat","ID","https://www.facebook.com/dynamickopi/","+62 857-1893-8783","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kopi%20Dynamic%20Bandung&query_place_id=ChIJDd_eUuHmaC4RpmPRRGFQUtQ","Kedai Kopi"
"Mikha Coffee Setiabudi","4.3","288","Jl. Dr. Setiabudi No.135","Kota Bandung","Jawa Barat","ID",,"+62 896-8800-4625","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mikha%20Coffee%20Setiabudi&query_place_id=ChIJh6s1rSXnaC4Rlc-zMDiMMF0","Kedai Kopi"
"NYARI COFFEE","4.7","46","Jl. Dago Asri IV","Kota Bandung","Jawa Barat","ID","http://www.instagram.com/nyari.coffee","+62 881-0235-46320","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=NYARI%20COFFEE&query_place_id=ChIJaafWf7jnaC4R0YVF9aSDrWs","Kedai Kopi"
"Secangkir Kopi Dago","5","1","4JF9+P8X, Jalan","Kota Bandung","Jawa Barat","ID",,"","Kafe","Kedai Kopi",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Secangkir%20Kopi%20Dago&query_place_id=ChIJBQbCJ-PmaC4Rl5VWEjQ6Dok","Kafe"
"Lapak Coffee Bandung","4.9","7","Jl. Ciungwanara No.10","Kota Bandung","Jawa Barat","ID",,"+62 818-0363-1365","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lapak%20Coffee%20Bandung&query_place_id=ChIJ69Ku9nvnaC4Ry0yTGI2PjTU","Kedai Kopi"
"GARASI PASTA & COFFEE BANDUNG","5","12","Jl. Jalaprang No.34","Kota Bandung","Jawa Barat","ID",,"+62 812-8552-4666","Kedai Kopi","Toko Pasta","Stan Pizza",,,,,,,"https://www.google.com/maps/search/?api=1&query=GARASI%20PASTA%20%26%20COFFEE%20BANDUNG&query_place_id=ChIJkaIc0crnaC4RnRqOi2uhdYs","Kedai Kopi"
"Darmo Kopi • Trsn. Pasteur","4.5","46","Jl. DR. Djundjunan Dalam II No.7","Kota Bandung","Jawa Barat","ID",,"+62 851-8339-5591","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Darmo%20Kopi%20%E2%80%A2%20Trsn.%20Pasteur&query_place_id=ChIJwWxQwYDnaC4Rig96Vtnwhhw","Kedai Kopi"
"Kedai Kopi Boscha","4.7","190","Jl. Boscha No.6","Kota Bandung","Jawa Barat","ID",,"+62 815-7108-098","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Kopi%20Boscha&query_place_id=ChIJCSEcBF_maC4RqV-vRxn_7pk","Kedai Kopi"
"Warunk Upnormal Sumur Bandung","4.5","2245","Jl. Sumur Bandung No.20","Kota Bandung","Jawa Barat","ID","http://warunkupnormal.id/","+62 811-2294-847","Kafe","Kedai Kopi",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warunk%20Upnormal%20Sumur%20Bandung&query_place_id=ChIJo09JSaHnaC4ROp8kOMJkrEw","Kafe"
"Teras Bdg Fc Coffee","4.8","21","Jl. Siliwangi No.31","Kota Bandung","Jawa Barat","ID","https://linktr.ee/terascoffeebdgfc?utm_source=linktree_profile_share&ltsid=c915a200-bd0e-4a66-bdc7-a4b9779f52ef","+62 822-1406-6144","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Teras%20Bdg%20Fc%20Coffee&query_place_id=ChIJWXFp4rznaC4R8s1ESvod-Jg","Kedai Kopi"
"Warung Kopi Idola Libas G","4.6","314","Jl. Rereng Suliga No.25","Kota Bandung","Jawa Barat","ID",,"+62 813-2231-7554","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Kopi%20Idola%20Libas%20G&query_place_id=ChIJey5g06_naC4R79LXgS2fU0M","Kedai Kopi"
"harumewangi","4.7","59","Jl. Karang Tinggal No.30","Kota Bandung","Jawa Barat","ID",,"","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=harumewangi&query_place_id=ChIJac1eDADnaC4RyLPedlbmY9o","Kedai Kopi"
"Kowawa Kedai Kopi","4.9","57","Jl. Gelap Nyawang No.5","Kota Bandung","Jawa Barat","ID","http://www.instagram.com/kowawabdg1","+62 878-2541-2628","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kowawa%20Kedai%20Kopi&query_place_id=ChIJjUgeuavnaC4R3DTKtAKPB9k","Kedai Kopi"
"Bejakopi bandung","4.8","40","Jl. Badak Singa No.6","Kota Bandung","Jawa Barat","ID",,"+62 812-2350-9789","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bejakopi%20bandung&query_place_id=ChIJv7h9EWznaC4R3mDK42ZIyr4","Kedai Kopi"
"Inangba Coffee Shop","4.5","150","Jl. Bapa Husen No.6C","Kota Bandung","Jawa Barat","ID",,"+62 22 82062560","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Inangba%20Coffee%20Shop&query_place_id=ChIJu4JpsV7maC4RZJK09ZXdXr8","Kedai Kopi"
"Nomar Kopi Roastery","4.8","55","Jl. Terusan Sutami V No.2","Kota Bandung","Jawa Barat","ID",,"+62 816-919-212","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nomar%20Kopi%20Roastery&query_place_id=ChIJdUAe4x7naC4RdF6oXWWzaMY","Kedai Kopi"
"Kopi kedua","4.5","12","Jl. Sariasih IV No.41","Kota Bandung","Jawa Barat","ID",,"+62 821-2821-2722","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kopi%20kedua&query_place_id=ChIJYxohUPLnaC4REfcDxbzCeY0","Kedai Kopi"
"Kedai Kopi Bandung Baltos | FAFI COFFEE","5","3","Balubur Town Square, Jl. Tamansari Floor D2 No K08","Kota Bandung","Jawa Barat","ID",,"+62 815-7228-3066","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Kopi%20Bandung%20Baltos%20%7C%20FAFI%20COFFEE&query_place_id=ChIJAdP0FF7naC4RgIRDWk3xlSo","Kedai Kopi"
"Dari.kopi","4.5","374","Jl. Dipati Ukur No.36","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/darikopi.bdg?igsh=MWs5YzFsZXBnNW0xMA==","+62 812-4462-0540","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dari.kopi&query_place_id=ChIJQ5JnQ_TnaC4RvHqMY75RhE0","Kedai Kopi"
"Old Ben's Garage & Coffee","4.4","607","Jl. Terusan Prof. DR. Sutami No.23","Kota Bandung","Jawa Barat","ID","http://www.instagram.com/oldbens","+62 878-2426-9298","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Old%20Ben's%20Garage%20%26%20Coffee&query_place_id=ChIJi48Wn4PmaC4RjMUrEWkKIak","Kedai Kopi"
"Ruang Mimpi Coffee","4.7","245","Jl. Citra Green No.17","Kota Bandung","Jawa Barat","ID",,"+62 851-5702-2673","Kedai Kopi","Kafe","Bar Kopi Espresso",,,,,,,"https://www.google.com/maps/search/?api=1&query=Ruang%20Mimpi%20Coffee&query_place_id=ChIJAyUKnF_maC4Rj3QYU2ZLQIE","Kedai Kopi"
"KOPIWEH","4.9","37","Pusat Dawah Islam(PUSDAI), (masuk kejalan disebrang SPBU pasar Suci), Jl. Pusdai","Kota Bandung","Jawa Barat","ID",,"+62 812-1411-9889","Kafe","Kedai Kopi",,,,,,,,"https://www.google.com/maps/search/?api=1&query=KOPIWEH&query_place_id=ChIJCR773LPnaC4RqAp64BFpmK8","Kafe"
"Terminal Coffee","4.5","643","Jl. Makmur No.2","Kota Bandung","Jawa Barat","ID","http://www.facebook.com/terminalcoffee","+62 851-7448-4767","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Terminal%20Coffee&query_place_id=ChIJlyPX4PTmaC4Rl_4uAaP-CMo","Kedai Kopi"
"KILOGRAM SPACE","4.6","1040","Jl. Karang Tinggal No.24","Kota Bandung","Jawa Barat","ID","http://instagram.com/kilogram.space","","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KILOGRAM%20SPACE&query_place_id=ChIJJaoudlXnaC4R5IIZ69De-KY","Kedai Kopi"
"Warung Kopi Modjok","4.2","2136","Jl. Sersan Bajuri No.111","Kabupaten Bandung Barat","Jawa Barat","ID",,"+62 821-1511-1896","Kedai Kopi","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Kopi%20Modjok&query_place_id=ChIJT_jlwLDmaC4RXfl08R4wLL0","Kedai Kopi"
"Suga Coffee Bar Bandung","5","55","Jl. Gegerkalong Hilir No.148","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/suga.coffeebar?igsh=ZHI0Y2RobzUzMGp6","","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Suga%20Coffee%20Bar%20Bandung&query_place_id=ChIJqWKK9o7naC4Rtd3UTwXsMC8","Kedai Kopi"
"Galeri Kopi Surapati","4.5","111","Jl. Surapati No.15","Kota Bandung","Jawa Barat","ID","https://instagram.com/galerikopisurapati15","","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Galeri%20Kopi%20Surapati&query_place_id=ChIJte4MTzbnaC4RFjI6bB2-0H4","Kedai Kopi"
"Bagi Kopi, Sulanjana, Bandung","4.9","71","Parkiran Shafira, Jl. Sulanjana No.28","Kota Bandung","Jawa Barat","ID","https://bagikopi.id/","+62 821-1781-1605","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bagi%20Kopi%2C%20Sulanjana%2C%20Bandung&query_place_id=ChIJAf7Lj4HnaC4RVhcMuwfTQeQ","Kedai Kopi"
"Terai Coffeatery","4.7","280","Jl. Tubagus Ismail No.175","Kota Bandung","Jawa Barat","ID","https://linktr.ee/teraicoffeatery","+62 823-1254-4839","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Terai%20Coffeatery&query_place_id=ChIJaSCxHbznaC4ROpXx1kluJl4","Kedai Kopi"
"Fore Coffee - Paris Van Java, Bandung","4.6","578","Paris Van Java, Jl. Sukajadi No.131-139 lantai dasar unit RC-L-21","Kota Bandung","Jawa Barat","ID","http://profile.fore.coffee/","+62 812-1111-8456","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fore%20Coffee%20-%20Paris%20Van%20Java%2C%20Bandung&query_place_id=ChIJ22Io2X7naC4RetXBKkzVTFk","Kedai Kopi"
"Fore Coffee - Cihampelas Walk, Bandung","4.4","434","Cihampelas Walk","Kota Bandung","Jawa Barat","ID","https://profile.fore.coffee/","+62 812-1111-8456","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fore%20Coffee%20-%20Cihampelas%20Walk%2C%20Bandung&query_place_id=ChIJvWAds-DnaC4RQFQLPEP9OyI","Kedai Kopi"
"Kozi Coffee X Marawa","4.7","329","Jl. Kidang Pananjung No.6","Kota Bandung","Jawa Barat","ID",,"+62 851-1120-8809","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kozi%20Coffee%20X%20Marawa&query_place_id=ChIJ7SJCr27naC4R0iyo1bfM8A0","Kedai Kopi"
"Kopi Ertilu Family Coffee & Dessert","4.8","123","Jl. Bagusrangin No.14","Kota Bandung","Jawa Barat","ID",,"+62 831-3125-1294","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kopi%20Ertilu%20Family%20Coffee%20%26%20Dessert&query_place_id=ChIJI64zy8fnaC4RyM9AD-gOego","Kedai Kopi"
"Coffee Toffee Bandung Siliwangi","4.5","1541","Jl. Siliwangi No.14","Kota Bandung","Jawa Barat","ID","http://coffeetoffee.co.id/","+62 22 82046969","Kedai Kopi","Kafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Coffee%20Toffee%20Bandung%20Siliwangi&query_place_id=ChIJvSTCFcrnaC4R8_fjV_u95co","Kedai Kopi"
"Terminal Coffee","4.5","586","Jl. Hasanudin No.3","Kota Bandung","Jawa Barat","ID",,"+62 851-7448-4767","Kedai Kopi","Kedai Sarapan","Kedai Sarapan & Makan Siang","Kafe","Tempat penyangraian kopi","Toko kopi","Grosir Kopi","Ruang Kerja Bersama","Toko Kue Kering","https://www.google.com/maps/search/?api=1&query=Terminal%20Coffee&query_place_id=ChIJ10K9OdTnaC4RuPUEIzyrm1E","Kedai Kopi"
"HUEMAI Warung Kopi","4.8","43","lantai D1 blok P-01, Baltos","Kota Bandung","Jawa Barat","ID",,"+62 878-2331-3399","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HUEMAI%20Warung%20Kopi&query_place_id=ChIJP0SAJxXnaC4Rrb8V8yT5rx4","Kedai Kopi"
"Warung Kopi Kalamuda","4.6","830","Jl. Sukahaji No.119","Kota Bandung","Jawa Barat","ID","http://instagram.com/warkop.kalamuda","+62 856-2404-8718","Kafe",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Kopi%20Kalamuda&query_place_id=ChIJ-8fHLc_naC4RPLiBQX9kcIU","Kafe"
"Kinokimi Coffee","4.6","583","Jl. Ranggamalela No.8","Kota Bandung","Jawa Barat","ID","https://instagram.com/kinokimicoffee","","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kinokimi%20Coffee&query_place_id=ChIJ9-9-xUbnaC4RtdtjjFMx6hI","Kedai Kopi"
"Public Space Cafe","4.6","257","Jl. Teuku Umar No.21","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/publicspacecafe/","+62 813-2448-2121","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Public%20Space%20Cafe&query_place_id=ChIJWaE1vtnnaC4RJfbpp-lQUpc","Kedai Kopi"
"Pecah Kopi","4.6","531","Jl. Cigadung Raya Timur No.5","Kota Bandung","Jawa Barat","ID",,"+62 813-3336-5480","Kedai Kopi","Kafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pecah%20Kopi&query_place_id=ChIJeUIR7hHnaC4RMOh_53zAUiM","Kedai Kopi"
"Toko Kopi Lajeng","4.7","198","Jl. Bukit Dago Selatan No.7","Kota Bandung","Jawa Barat","ID",,"","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Toko%20Kopi%20Lajeng&query_place_id=ChIJt_N1kzDnaC4Rjgn7A6eji3g","Kedai Kopi"
"Jiwan Coffee & Things Bandung","4.7","300","Jl. Ir. H. Juanda No.50","Kota Bandung","Jawa Barat","ID","https://linktr.ee/jiwancoffee","+62 888-0184-3726","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jiwan%20Coffee%20%26%20Things%20Bandung&query_place_id=ChIJiXuBJ0DnaC4Rgof-bcZ1hPM","Kedai Kopi"
"Bfour Coffee & Ice Cream","4.7","56","Jl. Budi No.4 RT02, RW.03","Kota Bandung","Jawa Barat","ID",,"+62 896-3459-5964","Kedai Kopi","Toko Es Krim",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bfour%20Coffee%20%26%20Ice%20Cream&query_place_id=ChIJZfvDnSnlaC4RFPAo-tu4oNE","Kedai Kopi"
"Communal Coffee Indonesia","4.9","166","Jl. Citra Green No.17","Kota Bandung","Jawa Barat","ID",,"+62 817-7943-0224","Kedai Kopi","Bar","Kafe","Tempat penyangraian kopi","Grosir Kopi",,,,,"https://www.google.com/maps/search/?api=1&query=Communal%20Coffee%20Indonesia&query_place_id=ChIJU3KwAeDmaC4RK-RIotEMWhw","Kedai Kopi"
"Tjaritra Coffee","4.6","178","Jl. Pak Gatot Raya No.80","Kota Bandung","Jawa Barat","ID","https://instagram.com/tjaritracoffee?igshid=MDM4ZDc5MmU=","+62 857-2491-7446","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tjaritra%20Coffee&query_place_id=ChIJVz1cPP7naC4RTnYeacwIlHU","Kedai Kopi"
"Ayamayaman Buka 24 Jam!","4.5","2011","Jl. Tubagus Ismail No.5c","Kota Bandung","Jawa Barat","ID","https://linktr.ee/ayamayaman","+62 822-1111-2926","Kedai Kopi","Kafe","Restoran Masakan Ayam","Pengiriman Makanan",,,,,,"https://www.google.com/maps/search/?api=1&query=Ayamayaman%20Buka%2024%20Jam!&query_place_id=ChIJeaqkqIDmaC4R1FGOImTIZ6g","Kedai Kopi"
"Makmur Jaya Coffee Roasters - Surya Sumantri","4.5","1159","Jl. Lemahnendeut No.2","Kota Bandung","Jawa Barat","ID",,"","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Makmur%20Jaya%20Coffee%20Roasters%20-%20Surya%20Sumantri&query_place_id=ChIJmXTSu_nnaC4RiAJrAhMemig","Kedai Kopi"
"Kopi Kendi 71","4.9","72","Jl. Gegerkalong Tengah No.71","Kota Bandung","Jawa Barat","ID",,"+62 851-6361-8197","Kedai Kopi","Kafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kopi%20Kendi%2071&query_place_id=ChIJidF3pdrnaC4RtzM25YZgxnU","Kedai Kopi"
