title;totalScore;reviewsCount;street;city;state;countryCode;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;categories/8;categories/9;url;categoryName;;;;;;;
Savvy Leather;;;Jl. Merdeka No.56;Kota Bandung;Jawa Barat;ID;;;Toko Tas;Toko Tas Tangan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Savvy%20Leather&query_place_id=ChIJK2DC6zfmaC4RG84Ab-GQdRU;Toko Tas;;;;;;;
Syillara service tas;4.9;53;Jl. Ciparay No.101;Kota Bandung;Jawa Barat;ID;;+62 882-0005-37299;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Syillara%20service%20tas&query_place_id=ChIJAUNAcQbpaC4RZKOUHUdaOqo;Toko Tas;;;;;;;
brisize tas serba kulit;1;1;2HWR+5XV, Gg. Pak Kasub;Kota Bandung;Jawa Barat;ID;;+62 853-2090-0709;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=brisize%20tas%20serba%20kulit&query_place_id=ChIJO-zLU3zpaC4RvgcOCXvVoxU;Pusat Perbelanjaan;;;;;;;
Kalibre Flagship Store Bandung;4.6;869;Jalan Cihampelas No.4 Pasir Kaliki Cicendo;Kota Bandung;Jawa Barat;ID;https://www.iamkalibre.com/;+62 22 4232625;Toko Aksesori Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kalibre%20Flagship%20Store%20Bandung&query_place_id=ChIJDfh1T0fmaC4RErfiuzZkqgQ;Toko Aksesori Pakaian;;;;;;;
Elizabeth Otista Bandung;4.6;650;Jl. Otto Iskandar Dinata No.520;Kota Bandung;Jawa Barat;ID;http://elizabeth.co.id/;+62 822-1813-6730;Toko Tas;Toko Pakaian;Toko Aksesori Pakaian;Toko Sepatu;;;;;;;https://www.google.com/maps/search/?api=1&query=Elizabeth%20Otista%20Bandung&query_place_id=ChIJjRxdmZ7oaC4RajYLVlJV94Y;Toko Tas;;;;;;;
Toko Anyar Enggal;4.9;445;Jl. Cibaduyut No.255;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/shoesmaterial_anyar?igsh=MW5kejFlYTdrajNjZQ==;+62 22 5411333;Grosir Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Anyar%20Enggal&query_place_id=ChIJ3W3VQcPoaC4RhTTdOVWX7wA;Grosir Kulit;;;;;;;
NIION;4.6;143;Jl. Kemuning No.8A;Kota Bandung;Jawa Barat;ID;https://niion.co/;+62 855-2074-1063;Toko Tas;Toko Aksesori Pakaian;Kios Yoghurt Beku;;;;;;;;https://www.google.com/maps/search/?api=1&query=NIION&query_place_id=ChIJ2fN4ygLnaC4RjtQgBO9Doa0;Toko Tas;;;;;;;
Toko Tas Banyumas;4;202;Jl. Cihapit No.23;Kota Bandung;Jawa Barat;ID;;+62 819-1028-2225;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Tas%20Banyumas&query_place_id=ChIJu_ivscrnaC4R7pUK3cI8ue8;Toko Tas;;;;;;;
Papillon Leather Bags;4.1;83;Bandung Indah Plaza Lt. 1 No.72, Jl. Merdeka No.56, Babakan Ciamis, Sumur Bandung;Kota Bandung;Jawa Barat;ID;http://papillonleather.com/;+62 22 4212732;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Papillon%20Leather%20Bags&query_place_id=ChIJJSH4nTfmaC4RizKhGJBi9e0;Toko Sepatu;;;;;;;
Reparasi Sepatu Tas di Bandung Good Sole;4.9;117;Festival Citylink, Jl. Peta No.241 lantai LG;Kota Bandung;Jawa Barat;ID;http://wa.wizard.id/f01563;+62 838-7863-4808;Toko Reparasi Sepatu;Reparasi Koper;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Reparasi%20Sepatu%20Tas%20di%20Bandung%20Good%20Sole&query_place_id=ChIJ7XlzairpaC4RJ-Y0r7cctN4;Toko Reparasi Sepatu;;;;;;;
JK Collection;4.4;182;Jl. Cibaduyut Kelurahan No.27;Kota Bandung;Jawa Barat;ID;;+62 22 5413146;Toko Sepatu;Toko Tas;;;;;;;;;https://www.google.com/maps/search/?api=1&query=JK%20Collection&query_place_id=ChIJefDP5cPoaC4RG3yCyo_5DHo;Toko Sepatu;;;;;;;
Toko Diana - Sentra Sepatu dan Tas;4.3;219;Gg. Pak Aip No..134;Kota Bandung;Jawa Barat;ID;;+62 22 5403044;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Diana%20-%20Sentra%20Sepatu%20dan%20Tas&query_place_id=ChIJv0C_4MDoaC4R1vo0ZxMgRYw;Toko Sepatu;;;;;;;
Sinar Kulit;3.9;20;Jl. Cibaduyut No.102;Kota Bandung;Jawa Barat;ID;;+62 22 5407340;Grosir Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Sinar%20Kulit&query_place_id=ChIJPQltXMHoaC4RzbpeqJOTD00;Grosir Kulit;;;;;;;
Toko Jaket Kulit Eko Barbara;4.7;46;35B, Jl. Leuwi Panjang No.35A;Kota Bandung;Jawa Barat;ID;;+62 812-2224-0777;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Jaket%20Kulit%20Eko%20Barbara&query_place_id=ChIJbd9iRr3oaC4ReNcHl-VXRmY;Toko;;;;;;;
Elizabeth Buah Batu;4.7;365;Jl. Terusan Buah Batu No.214;Kota Bandung;Jawa Barat;ID;http://elizabeth.co.id/;+62 822-1813-6730;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Elizabeth%20Buah%20Batu&query_place_id=ChIJa3a7CGLpaC4R3LxzNwsSPkc;Toko Tas;;;;;;;
Toko Tas Mawar Pasirkoja;5;859;Jl. Mekar Kencana No.10;Kota Bandung;Jawa Barat;ID;https://mawarpasirkoja.com/;+62 819-9668-6886;Toko Tas;Toko Alat Tulis Kantor;Kantor administrasi sekolah;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Tas%20Mawar%20Pasirkoja&query_place_id=ChIJr0m47iDmaC4R7KSmw2RP1os;Toko Tas;;;;;;;
Grosir Tas Bandung;4.2;27;Jl. Cidurian Utara No.99, RT.04/RW.10;Kota Bandung;Jawa Barat;ID;;+62 821-2833-4519;Toko Tas;Grosir;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Grosir%20Tas%20Bandung&query_place_id=ChIJMZkgUCjmaC4RNxYBV6stJM4;Toko Tas;;;;;;;
Hiji Crafter - Konveksi Tas Kulit;5;3;Jl. A. Yani Gg. Samsi IV No.99;Kota Bandung;Jawa Barat;ID;https://hiji.co.id/;+62 821-2817-0391;Pabrikan barang kulit;Toko Barang-barang Kulit;Pemasok Barang-Barang Kulit;;;;;;;;https://www.google.com/maps/search/?api=1&query=Hiji%20Crafter%20-%20Konveksi%20Tas%20Kulit&query_place_id=ChIJXZ0iSgTnaC4RI2SihSNus7w;Pabrikan barang kulit;;;;;;;
Dompet Kulit Bandung;3;2;Jl. Sukarma No.29;Kota Bandung;Jawa Barat;ID;http://www.instagram.com/dompet_kulit_bandung;+62 812-2407-1830;Kantor Perusahaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Dompet%20Kulit%20Bandung&query_place_id=ChIJ4xNsgFPpaC4RGbuwJT6pmNw;Kantor Perusahaan;;;;;;;
Dompet STNK Kulit Mobil / Leather Keywallet;5;2;Jl. Saluyu 10, A Jl. Riung Bandung Raya No.19;Kota Bandung;Jawa Barat;ID;http://www.mekafa.com/;+62 822-1400-4615;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Dompet%20STNK%20Kulit%20Mobil%20%2F%20Leather%20Keywallet&query_place_id=ChIJ-yr_4n_DaC4RdVFT8UHgyzI;Toko Tas;;;;;;;
Toko Bahan Kulit Sintetis Jumbo;4.5;651;Jl. Cibaduyut No.174;Kota Bandung;Jawa Barat;ID;;+62 811-227-978;Pemasok Barang-Barang Kulit;Toko;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Bahan%20Kulit%20Sintetis%20Jumbo&query_place_id=ChIJARhv3cPoaC4RVGISib5VrVA;Pemasok Barang-Barang Kulit;;;;;;;
pabrik tas kulit;4;3;Jl. Gudang Utara No.25;Kota Bandung;Jawa Barat;ID;;+62 22 4268700;Produsen;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=pabrik%20tas%20kulit&query_place_id=ChIJQ1_nP83naC4RhS7WteSXOns;Produsen;;;;;;;
Service Tas Bandung;4.5;203;Jl. Leuwi Panjang No.62;Kota Bandung;Jawa Barat;ID;;+62 878-2285-0239;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Service%20Tas%20Bandung&query_place_id=ChIJ4b47a97paC4RlSWEe2z5qc4;Toko Tas;;;;;;;
Galeri Kulit Bandung;5;4;Jl. Kiara Condong No.351;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/gallery.kulit.bandung/;+62 859-5490-1794;Toko Pakaian Pria;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Galeri%20Kulit%20Bandung&query_place_id=ChIJyR9ltvjpaC4RnOxfUb4wqFQ;Toko Pakaian Pria;;;;;;;
Jaket Kulit 25vaex Bandung;4.5;59;Jl. Cibaduyut No.46 No.46 & 48;Kota Bandung;Jawa Barat;ID;;+62 878-6000-2500;Toko Barang-barang Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Jaket%20Kulit%2025vaex%20Bandung&query_place_id=ChIJqSFL58DoaC4RjwkS-7R5tYs;Toko Barang-barang Kulit;;;;;;;
Toko Tas Diamond;4.7;21;Jl. Kalipah Apo No.55;Kota Bandung;Jawa Barat;ID;;+62 22 4232543;Toko Tas Tangan;Toko Aksesori Pakaian;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Tas%20Diamond&query_place_id=ChIJMfK71yPmaC4Rj_D5qKkElWw;Toko Tas Tangan;;;;;;;
Savvy Bags;4.3;193;Jl. Buah Batu No.186;Kota Bandung;Jawa Barat;ID;https://shopee.co.id/savvyleather;+62 22 7304884;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Savvy%20Bags&query_place_id=ChIJoYQtGWPoaC4RuHxwKlXXFN4;Toko Tas;;;;;;;
Toko Kulit Prima;4.4;117;Jl. Cibaduyut No.74;Kota Bandung;Jawa Barat;ID;;+62 22 5407976;Toko Barang-barang Kulit;Pedagang tekstil;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Kulit%20Prima&query_place_id=ChIJRX-kwsPoaC4R3r3tk50IHtw;Toko Barang-barang Kulit;;;;;;;
Tas Kulit Andi;4.3;6;;Kota Bandung;Jawa Barat;ID;;+62 838-2050-9725;Toko Barang-barang Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Tas%20Kulit%20Andi&query_place_id=ChIJ47SCGDznaC4RE0yG0F4poBI;Toko Barang-barang Kulit;;;;;;;
Jaket Kulit mt anugrah 58 bandung;4.5;153;Jl. Cibaduyut No.58;Kota Bandung;Jawa Barat;ID;;+62 813-2408-7417;Toko Barang-barang Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Jaket%20Kulit%20mt%20anugrah%2058%20bandung&query_place_id=ChIJy5sX6cDoaC4RIyRkMaqJp6w;Toko Barang-barang Kulit;;;;;;;
Servis tas;5;28;Servis tas dll, Jl. Awi Bitung Gg. Jembar II No.23;Kota Bandung;Jawa Barat;ID;;+62 857-3052-7279;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Servis%20tas&query_place_id=ChIJXeY7IxTnaC4RPbCgb4MAUFc;Toko Tas;;;;;;;
LWR Tas Sepatu Cibaduyut;4.5;201;Jl. Cibaduyut No.87;Kota Bandung;Jawa Barat;ID;http://bit.ly/2zdb6aY;+62 813-9501-1008;Pusat Perbelanjaan;Toko Tas;Toko Barang-barang Kulit;Toko Sepatu;;;;;;;https://www.google.com/maps/search/?api=1&query=LWR%20Tas%20Sepatu%20Cibaduyut&query_place_id=ChIJu3ZV68DoaC4RBY0Jd8CD1JA;Pusat Perbelanjaan;;;;;;;
Tas Kulit;5;4;Jl. Cikampek 1 No.36;Kota Bandung;Jawa Barat;ID;;;Toko Barang-barang Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Tas%20Kulit&query_place_id=ChIJcWWjXBHnaC4RVClDa8yeqV4;Toko Barang-barang Kulit;;;;;;;
HAI LEATHER ORIGINAL;5;1;Jl. Jati Indah 1 No.10;Kota Bandung;Jawa Barat;ID;;+62 821-1667-1977;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=HAI%20LEATHER%20ORIGINAL&query_place_id=ChIJlx8SyYXpaC4RojkSFR-2bvE;Toko Tas;;;;;;;
Toko Tas Dan Perawatan Bahan Dasar Kulit;4.7;26;Jl. Rereng Adumanis No.10;Kota Bandung;Jawa Barat;ID;;+62 821-3600-8687;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Tas%20Dan%20Perawatan%20Bahan%20Dasar%20Kulit&query_place_id=ChIJ0QJP3K_naC4RVp7kec-NVWw;Toko Tas;;;;;;;
Mekafa - Dompet dan Sabuk Kulit Premium;5;47;Jl. Keadilan 2 No 32 Rt02 Rw 09, kelurahan;Kota Bandung;Jawa Barat;ID;https://www.mekafa.com/;+62 822-1400-4615;Toko Barang-barang Kulit;Toko Tas;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mekafa%20-%20Dompet%20dan%20Sabuk%20Kulit%20Premium&query_place_id=ChIJP7Vn-ZHoaC4RFSbE27IRdKE;Toko Barang-barang Kulit;;;;;;;
Tas Kulit Exotic 324;4.5;113;Jl. Cikutra No.324;Kota Bandung;Jawa Barat;ID;;+62 877-2552-7622;Toko Barang-barang Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Tas%20Kulit%20Exotic%20324&query_place_id=ChIJ3V7SWKTnaC4R2xTX7QTMa0E;Toko Barang-barang Kulit;;;;;;;
Kaos Distro Bandung;4;1;Brigjen Katamso akur 10, Jl. Muararajeun Baru;Kota Bandung;Jawa Barat;ID;;+62 856-2409-1941;Perancang busana;Layanan Distribusi;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kaos%20Distro%20Bandung&query_place_id=ChIJgzq_DLfnaC4RaCn7jBbapxM;Perancang busana;;;;;;;
Portee Goods;4.9;1046;Jl. Anggrek No.15;Kota Bandung;Jawa Barat;ID;http://www.porteegoods.com/;+62 881-0241-11271;Toko Sepatu;Toko Barang-barang Kulit;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Portee%20Goods&query_place_id=ChIJ--DFgjDmaC4R50rM09e0tOQ;Toko Sepatu;;;;;;;
Sch Sultan Agung;4.5;1142;Jl. Sultan Agung No.3;Kota Bandung;Jawa Barat;ID;https://schofficial.com/en;+62 22 4265105;Toko Pakaian;Toko Pakaian Anak;Toko Pakaian Pria;Toko Pakaian Wanita;;;;;;;https://www.google.com/maps/search/?api=1&query=Sch%20Sultan%20Agung&query_place_id=ChIJ59EhSUjmaC4RkFb_JhwJD68;Toko Pakaian;;;;;;;
Plaza Parahyangan;4.3;6109;Jl. Dalem Kaum No.54;Kota Bandung;Jawa Barat;ID;http://www.plazaparahyangan.com/;+62 22 4206365;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Plaza%20Parahyangan&query_place_id=ChIJiVKXLyTmaC4RL-Y9rO4-YGs;Pusat Perbelanjaan;;;;;;;
LTHRKRFT - Leather Goods;5;27;Jl. Anggrek No.15;Kota Bandung;Jawa Barat;ID;http://lthrkrft.com/;+62 818-0930-9313;Toko Barang-barang Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=LTHRKRFT%20-%20Leather%20Goods&query_place_id=ChIJKYZQYdvnaC4RQnsWhZV_ZB4;Toko Barang-barang Kulit;;;;;;;
Screamous;4.4;339;Jl. Geusan Ulun No.01;Kota Bandung;Jawa Barat;ID;http://www.screamous.com/;+62 22 4268116;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Screamous&query_place_id=ChIJMRr0-kjmaC4RG6esHStxPBc;Toko Pakaian;;;;;;;
Distro Kaos Musik Band Rockjip;4.7;3;Metro indah mall, Jl. Soekarno-Hatta No.590;Kota Bandung;Jawa Barat;ID;https://gudangkaosrockjip.com/;+62 813-3972-7928;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Distro%20Kaos%20Musik%20Band%20Rockjip&query_place_id=ChIJSw0MjCbmaC4RE0GuifoBbsc;Toko Pakaian;;;;;;;
347 Store (UNKL347 Headquarters);4.6;953;Jl. Trunojoyo No.4;Kota Bandung;Jawa Barat;ID;https://unkl347.com/;+62 22 4200515;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=347%20Store%20(UNKL347%20Headquarters)&query_place_id=ChIJg-QFG0nmaC4RZsqj3gmbt5Q;Toko Pakaian;;;;;;;
Grosir kaos Distro Hr_inc;4.2;59;Jl. Waringin;Kota Bandung;Jawa Barat;ID;;+62 822-4004-0221;Pasar Grosir Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Grosir%20kaos%20Distro%20Hr_inc&query_place_id=ChIJD6cUuxDmaC4RxcRycfDdHsI;Pasar Grosir Pakaian;;;;;;;
Pusat Distro;4.7;66;Komplek Pertokoan Cicaheum Jalan Jendral Ahmad Yani No. 909 Cicaheum;Kota Bandung;Jawa Barat;ID;;+62 812-2481-6424;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Pusat%20Distro&query_place_id=ChIJ0UobOZLnaC4RADXJoUL3FdU;Toko Pakaian;;;;;;;
Rinzha Distro Store; Toko Baju Bandung;5;7;Jl. Gatot Subroto No.135;Kota Bandung;Jawa Barat;ID;https://neonboxbandung-rmg.com/;+62 859-2181-6669;Toko Pakaian Luar;Toko Lampu Neon;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Rinzha%20Distro%20Store%2C%20Toko%20Baju%20Bandung&query_place_id=ChIJRZWjW9PnaC4RxjOgMiHk6DE;Toko Pakaian Luar;;;;;;
Evil Army;4.5;68;Jl. Sultan Agung No.5;Kota Bandung;Jawa Barat;ID;https://www.evilfact.com/;+62 22 4265106;Toko Aksesori Pakaian;Grosir pakaian;Toko Pakaian Pria;;;;;;;;https://www.google.com/maps/search/?api=1&query=Evil%20Army&query_place_id=ChIJfQYFSUjmaC4RUIjXeasS6hs;Toko Aksesori Pakaian;;;;;;;
LOAK 0;0%;5;2;dekat masjid ann'ur, Gg abadi dalam RT 01 RW 03 Sukahaji , jawa barat;Kota Bandung;Jawa Barat;ID;;+62 851-3502-3879;Toko Barang Bekas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=LOAK%200%2C0%25&query_place_id=ChIJeaHbFVbnaC4RMlqv_fjP5P0;Toko Barang Bekas;;;;;;
The Secondshop Mojus;4.5;31;Gg. Moch. Yunus I No.11a;Kota Bandung;Jawa Barat;ID;;+62 819-1010-1696;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=The%20Secondshop%20Mojus&query_place_id=ChIJY6MKd0DmaC4Rk26TiF-UemM;Toko;;;;;;;
Aden Farid Hakiki;4;1;Jl. Baturengat;Kota Bandung;Jawa Barat;ID;;+62 852-2159-6965;Toko Barang Bekas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Aden%20Farid%20Hakiki&query_place_id=ChIJTVtcDFvvaC4Rm5N6F914X5I;Toko Barang Bekas;;;;;;;
tempat menjual rongsokan besi tembaga alumunium kaset vcd dvd komputer printer mesin cuci tv dll;4.8;22;RT.03/RW.01;Kota Bandung;Jawa Barat;ID;https://rongsokbandung.com/;+62 895-3514-93927;Toko Barang Bekas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=tempat%20menjual%20rongsokan%20besi%20tembaga%20alumunium%20kaset%20vcd%20dvd%20komputer%20printer%20mesin%20cuci%20tv%20dll&query_place_id=ChIJcZu4DHHvaC4Rz3yn8WbjflE;Toko Barang Bekas;;;;;;;
Garmenesia;4.9;89;Jl. Bungursari Raya No.22;Kota Bandung;Jawa Barat;ID;https://garmenesia.co.id/;+62 22 85402972;Produsen;Pemasok Pakaian;Kantor Perusahaan;;;;;;;;https://www.google.com/maps/search/?api=1&query=Garmenesia&query_place_id=ChIJ0fmsTZXnaC4RzOIvrIswqlY;Produsen;;;;;;;
Adzzahabi konveksi bandung - buat sablon kaos ;kemeja; jacket jacket topi almamter jas;5;1;Jl. Rana No.18;Kota Bandung;Jawa Barat;ID;https://redblackfull.blogspot.com/;+62 818-670-736;Eksportir garmen;Toko Pakaian;Penjahit Pesanan Khusus;Tukang Jahit;Jasa Bordir;Toko Sablon;;;;;https://www.google.com/maps/search/?api=1&query=Adzzahabi%20konveksi%20bandung%20-%20buat%20sablon%20kaos%20%2Ckemeja%2C%20jacket%20jacket%20topi%20almamter%20jas&query_place_id=ChIJ5alcm03naC4RPLFHz4-6OAM;Eksportir garmen;;;;;
Cutting Polyflex; Cutting Sticker; Flock; Sablon/Print DTF Bandung; Cetak/Print Sticker Online Bandung | VerticalMEDIA;5;11;Gg. Siti Mariah IV No.171 A, RT.08/RW.02;Kota Bandung;Jawa Barat;ID;;+62 852-2140-3310;Layanan cetak digital;Printer Digital;Toko Percetakan;Pabrik stiker;;;;;;;https://www.google.com/maps/search/?api=1&query=Cutting%20Polyflex%2C%20Cutting%20Sticker%2C%20Flock%2C%20Sablon%2FPrint%20DTF%20Bandung%2C%20Cetak%2FPrint%20Sticker%20Online%20Bandung%20%7C%20VerticalMEDIA&query_place_id=ChIJi7Q5jAjnaC4RjIRQzi9ngLU;Layanan cetak digital;;;
Home Zack - sablon murah bandung; konveksi kaos ; kemeja ; jacket;5;1;Jl. Rana No.18;Kota Bandung;Jawa Barat;ID;http://redblackfull.blogspot.com/;+62 818-670-736;Toko Pakaian;Layanan Airbrush;Percetakan Komersial;Eksportir garmen;Fotografer;Toko Sablon;Toko Kaos;;;;https://www.google.com/maps/search/?api=1&query=Home%20Zack%20-%20sablon%20murah%20bandung%2C%20konveksi%20kaos%20%2C%20kemeja%20%2C%20jacket&query_place_id=ChIJB0QMVADnaC4RlxuSuNs134c;Toko Pakaian;;;;
