"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"Aken Salon & Spa","3.4","18","Jl. Khp Hasan Mustopa No.161","Kota Bandung","Jawa Barat","ID",,"+62 812-2456-1855","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aken%20Salon%20%26%20Spa&query_place_id=ChIJnXfwYLznaC4RjNjY57M9jGI","Salon Kecantikan"
"Black Gray Barbershop","4.5","8","Jl. Jatihandap No.18","Kota Bandung","Jawa Barat","ID","https://m.facebook.com/barbershop.blackgray","+62 813-1313-1933","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Black%20Gray%20Barbershop&query_place_id=ChIJ7-ynOo7naC4REF22w_tMJxc","Salon Rambut"
"D Leo Barbershop",,,"Jl. Jatihandap Timur No.96, RT.07/RW.08","Kabupaten Bandung","Jawa Barat","ID",,"","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=D%20Leo%20Barbershop&query_place_id=ChIJh9AfOwDnaC4RmZJ9XzR8290","Tempat Cukur Rambut"
"Asal Cukur Barbershop","4.4","8","Jl. Jatihandap No.43","Kota Bandung","Jawa Barat","ID",,"+62 858-6019-6473","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Asal%20Cukur%20Barbershop&query_place_id=ChIJpYSBxI_naC4RT_0M-fKOMyU","Tempat Cukur Rambut"
"Barbershop R.Babon (cabang Adina antapani)","4.3","18",,"Kota Bandung","Jawa Barat","ID",,"+62 896-5906-9425","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Barbershop%20R.Babon%20(cabang%20Adina%20antapani)&query_place_id=ChIJmzwKBx_naC4Ry5TUjThjzgA","Tempat Cukur Rambut"
"Venus Barbershop","4.5","54","Jl. Jatihandap No.290","Kota Bandung","Jawa Barat","ID","http://www.venusbarbershop.com/","+62 878-2245-7112","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Venus%20Barbershop&query_place_id=ChIJt7j-eYXnaC4R3Tg_d9nHyjQ","Tempat Cukur Rambut"
"Gmax Barbershop","3.4","36","Jl. Padasuka No.08 Blok A","Kota Bandung","Jawa Barat","ID",,"+62 22 7232558","Salon Rambut","Toko Pakaian",,,,,,,"https://www.google.com/maps/search/?api=1&query=Gmax%20Barbershop&query_place_id=ChIJu9DfCZHnaC4RQMdYda-EK-k","Salon Rambut"
"ANT BROTHER BARBERSHOP","4.7","20","Jl. Kosar No.142","Kota Bandung","Jawa Barat","ID",,"","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=ANT%20BROTHER%20BARBERSHOP&query_place_id=ChIJ9f9SUAzdaC4RHb9AF2O9vwA","Salon Rambut"
"Marbella Beauty Bar","4.8","26",,"Kabupaten Bandung","Jawa Barat","ID","https://www.instagram.com/p/BoqfmEvHLwm/?utm_medium=copy_link","+62 857-9313-5209","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Marbella%20Beauty%20Bar&query_place_id=ChIJTTtKN1vnaC4RTSWSsv46zFw","Salon Kecantikan"
"Famous eyelash Bandung","5","39","Jl. Jatihandap Timur No.48","Kota Bandung","Jawa Barat","ID","https://wa.me/message/IM6ZSOIDDB6RA1","+62 881-0236-61970","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Famous%20eyelash%20Bandung&query_place_id=ChIJWxo-dmvnaC4R73Ta6fqZQWs","Salon Kecantikan"
"Garisa Salon","4.6","20","Jl. Jatihandap No.110","Kota Bandung","Jawa Barat","ID",,"+62 821-1748-3259","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Garisa%20Salon&query_place_id=ChIJ14aDu4XnaC4Rp_Hy0b20cuU","Salon Kecantikan"
"G Barbershop Cijambe","4.8","235","Jl. Cijambe No.29","Kota Bandung","Jawa Barat","ID","https://linktr.ee/gbarbershop","+62 811-1000-2406","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=G%20Barbershop%20Cijambe&query_place_id=ChIJwcR9wlTdaC4RatmEKs9G79A","Tempat Cukur Rambut"
"FRIO BARBERSHOP","4.8","227","Jl. Indramayu No.7","Kota Bandung","Jawa Barat","ID",,"+62 813-1641-430","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=FRIO%20BARBERSHOP&query_place_id=ChIJV_d6Ee3naC4R-JxtZIPX7Hw","Tempat Cukur Rambut"
"Mangkhas Barbershop","4.6","21","Jl. Arcamanik No.05","Kota Bandung","Jawa Barat","ID","https://linktr.ee/mangkhasbarbershop","+62 813-1220-2344","Tempat Cukur Rambut","Salon Rambut","Jasa penata rambut gimbal","Penata Rambut",,,,,"https://www.google.com/maps/search/?api=1&query=Mangkhas%20Barbershop&query_place_id=ChIJ1z__FfkaCiYRK-24_c3PhTs","Tempat Cukur Rambut"
"Golden Barbershop","4.9","3318","Jl. Dipati Ukur Lt.1","Kota Bandung","Jawa Barat","ID",,"+62 812-1480-7192","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Golden%20Barbershop&query_place_id=ChIJp1iKPFTmaC4RxgQHGuATYwI","Tempat Cukur Rambut"
"Mimi Salon & beauty","4.8","51","Jl. Bungursari Raya No.12","Kota Bandung","Jawa Barat","ID",,"+62 878-0235-8128","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mimi%20Salon%20%26%20beauty&query_place_id=ChIJTa-0fpDnaC4RFcjMwxnhLlo","Salon Kecantikan"
"ZAIN BARBERSHOP cabang 4","4.8","49","3MWH+27C","Kota Bandung","Jawa Barat","ID",,"","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=ZAIN%20BARBERSHOP%20cabang%204&query_place_id=ChIJ43r2cgDdaC4RPg92uBFAYzY","Tempat Cukur Rambut"
"Urban Haircut Studio","4.8","821","Jl. Pasir Jati No.41","Kota Bandung","Jawa Barat","ID",,"+62 812-2195-8355","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Urban%20Haircut%20Studio&query_place_id=ChIJlY0U8T_daC4RgEGWFhlhqzk","Tempat Cukur Rambut"
"Salon N'Ji","4.5","241","Jl. Khp Hasan Mustopa No.238","Kota Bandung","Jawa Barat","ID",,"+62 813-1310-0588","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20N'Ji&query_place_id=ChIJq7jk9b3naC4Rudl1dIlssnA","Salon Rambut"
"D'Gia Salon","4.2","37","Jl. AH. Nasution No.6","Kota Bandung","Jawa Barat","ID",,"+62 853-5139-1990","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=D'Gia%20Salon&query_place_id=ChIJk-GcVl3daC4Rda9WVb6Hftw","Salon Kecantikan"
"KAZUMI BEAUTY STUDIO","4.9","17","Jl. Cilengkrang","Kota Bandung","Jawa Barat","ID",,"+62 812-1095-7261","Salon Kuku",,,,,,,,"https://www.google.com/maps/search/?api=1&query=KAZUMI%20BEAUTY%20STUDIO&query_place_id=ChIJd8ypYcDdaC4RPs5RPKDegtA","Salon Kuku"
"SORA Barbershop","5","93","Jl. Banda No.16","Kota Bandung","Jawa Barat","ID",,"+62 812-3284-4888","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=SORA%20Barbershop&query_place_id=ChIJXZGyc4bnaC4RFyS5gDoyjYc","Tempat Cukur Rambut"
"Chintya Salon & Spa","4.9","116","Jl. Cigending No.13","Kota Bandung","Jawa Barat","ID",,"+62 813-2250-8888","Penata Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Chintya%20Salon%20%26%20Spa&query_place_id=ChIJQ5nuUTvdaC4RjJi3ZN2U4cI","Penata Rambut"
"Culture Barbershop","4.6","861","Jl. Rumah Sakit No.10","Kota Bandung","Jawa Barat","ID","http://instagram.com/culturebarbershop","+62 859-7447-4110","Tempat Cukur Rambut","Salon Rambut",,,,,,,"https://www.google.com/maps/search/?api=1&query=Culture%20Barbershop&query_place_id=ChIJZQ2nqDDdaC4RWh6Mv-43P4o","Tempat Cukur Rambut"
"Intan hair&beauty salon","5","11","Jl. Cinangka No.5","Kota Bandung","Jawa Barat","ID",,"+62 895-6345-74212","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Intan%20hair%26beauty%20salon&query_place_id=ChIJXWEPlendaC4RoiO6QWhQyfw","Salon Rambut"
"Aux barbershop","3.5","19","Jl. Padasuka No.93","Kota Bandung","Jawa Barat","ID",,"+62 899-7347-444","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aux%20barbershop&query_place_id=ChIJ_ZjVb5DnaC4RSDSLunkCrlU","Tempat Cukur Rambut"
"Hexa Barbershop","2.7","10","Jl. Jatihandap No.124, RT.03/RW.09","Kota Bandung","Jawa Barat","ID",,"+62 852-8299-2425","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hexa%20Barbershop&query_place_id=ChIJZfIyOY_naC4RLBeEGLRpLnk","Tempat Cukur Rambut"
"Dery Salon & wedding package","4.5","26","Jalan Pasir Impun Barat No.89 B, Karang Pamulang, Mandala Jati","Kota Bandung","Jawa Barat","ID",,"+62 812-1451-4069","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dery%20Salon%20%26%20wedding%20package&query_place_id=ChIJoUubx2bdaC4RHkmDEfXhwWo","Salon Kecantikan"
"Fellash Beauty","5","12","Jl. Sukaasih Atas lll No.301 4","Kota Bandung","Jawa Barat","ID",,"+62 813-2245-5027","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fellash%20Beauty&query_place_id=ChIJ81qPjG3daC4RFcFkytT5v3o","Salon Kecantikan"
"CUKUR HADE BARBERSHOP - CIKUTRA","5","3504","Jl. Terusan Batik Halus No.17","Kota Bandung","Jawa Barat","ID","https://instagram.com/cukurhade.barbershop?igshid=MzRlODBiNWFlZA==","+62 822-1665-5665","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=CUKUR%20HADE%20BARBERSHOP%20-%20CIKUTRA&query_place_id=ChIJT-RlIcDnaC4Rc45Slm9skRY","Tempat Cukur Rambut"
"BIBIL BEAUTY SALON","4.5","30","Jl. Cinangka No.56","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/bibil.beautysalon?igsh=MWk2aWJ4dWF5NHFxbA%3D%3D&utm_source=qr","+62 857-1370-7336","Salon Kecantikan","Salon bulu mata","Salon Rambut","Salon Kuku",,,,,"https://www.google.com/maps/search/?api=1&query=BIBIL%20BEAUTY%20SALON&query_place_id=ChIJkffpbmTdaC4R7dLGtXDK2As","Salon Kecantikan"
"Barbershop 808","3.2","13","Ruko cluster pesona endah no.A 10, RT.8/RW.7","Kota Bandung","Jawa Barat","ID",,"","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Barbershop%20808&query_place_id=ChIJZ5JYbADdaC4Rvn5zguWDQUY","Tempat Cukur Rambut"
"Hamzah Barbershop","3.4","5","Sekeburuy No.26, RT.04/RW.06","Kota Bandung","Jawa Barat","ID",,"","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hamzah%20Barbershop&query_place_id=ChIJ6-CKDj7daC4R_8kdIi_1Sys","Tempat Cukur Rambut"
"D'Laundry","5","3","Jl. Padasuka No.113","Kota Bandung","Jawa Barat","ID",,"+62 812-2045-2515","Binatu Cucian Kering",,,,,,,,"https://www.google.com/maps/search/?api=1&query=D'Laundry&query_place_id=ChIJMdgMnmHnaC4RWuxnMIWCzbE","Binatu Cucian Kering"
"Agung Barbershop 01","4.8","49",,"Kota Bandung","Jawa Barat","ID","https://agungbarbershop.weebly.com/","+62 823-1538-3623","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Agung%20Barbershop%2001&query_place_id=ChIJz3Uyu9fdaC4Rx3cF5GMilL8","Tempat Cukur Rambut"
"Prime Laundry Machinery",,,"Jl. Arcamanik No.63a","Kota Bandung","Jawa Barat","ID",,"+62 22 21248916","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prime%20Laundry%20Machinery&query_place_id=ChIJ-YgpI2bdaC4R3SkxX85LG5s","Layanan Binatu"
"Driver ojek online/offline Bandung",,,"Jl. Pasir Impun Barat No.57, RT.003/RW.010","Kota Bandung","Jawa Barat","ID",,"+62 821-1903-4464","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Driver%20ojek%20online%2Foffline%20Bandung&query_place_id=ChIJQVF9DUDdaC4R3CG53y5OQ_I","Jasa Kurir"
"Vie Salon Muslimah","4.8","43","Jl. A. Yani Jl. BBK Sukatma No.44","Kota Bandung","Jawa Barat","ID",,"+62 857-2265-6927","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vie%20Salon%20Muslimah&query_place_id=ChIJMZaw75HnaC4R4gIH3XudYKM","Salon Kecantikan"
"Ozone Barbershop Ujung Berung","4.8","82","Jl. Cigending No.13","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/ozonebarbershop.uber?igsh=cWZybmV0cm5mMjdp","+62 812-2221-2340","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ozone%20Barbershop%20Ujung%20Berung&query_place_id=ChIJnSb2jhPdaC4RkmkugnQpkqg","Tempat Cukur Rambut"
"SUKA LAUNDRY","5","6","Jl. Padasuka No.134D","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/sukalaundry.bandung?igsh=eDV1MHRmYW4zdDZ2","+62 813-1500-2231","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=SUKA%20LAUNDRY&query_place_id=ChIJH0OY5YfnaC4REry3pmtMu1k","Layanan Binatu"
"Ant brother barbershop","5","14","3PW3+JR4, Jl. Cinangka","Kota Bandung","Jawa Barat","ID","https://ant-brother.my.id/","+62 812-1423-2453","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ant%20brother%20barbershop&query_place_id=ChIJbzanWADdaC4RLXgE-cHv1_M","Tempat Cukur Rambut"
"Golden Barbershop Ujung Berung","5","1375","Jl. AH. Nasution No.111A","Kota Bandung","Jawa Barat","ID",,"+62 812-1480-7192","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Golden%20Barbershop%20Ujung%20Berung&query_place_id=ChIJZZJE1cPdaC4RQYrrvWWUZzE","Tempat Cukur Rambut"
"URBAN Laundry pasirlayung","4.5","2","4M55+3X2, komp.Pasirlayung selatan, Jl. Padasuka","Kota Bandung","Jawa Barat","ID",,"","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=URBAN%20Laundry%20pasirlayung&query_place_id=ChIJQ0W8YavnaC4RbA2QS3XbSSM","Binatu"
"Cleaning Service Bandung","3.7","3","Jl. Khp Hasan Mustopa Jl. Surapati Core No.39","Kota Bandung","Jawa Barat","ID",,"+62 811-215-512","Jasa Pembersihan","Jasa Perawatan","Jasa Pembersih Karpet","Yayasan","Layanan Kebersihan","Dinas Tenaga Kerja",,,"https://www.google.com/maps/search/?api=1&query=Cleaning%20Service%20Bandung&query_place_id=ChIJB___v5DnaC4ROb26OVFkd8A","Jasa Pembersihan"
"RATNA SALON - RIAS PENGANTIN","4.8","17","3MXP+P3G","Kota Bandung","Jawa Barat","ID",,"+62 898-2276-971","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RATNA%20SALON%20-%20RIAS%20PENGANTIN&query_place_id=ChIJVb6QQGndaC4RD6_SPBKvm0s","Salon Kecantikan"
"BINTANG LAUNDRY CIKADUT","5","1","Jl. Cikadut No.RT.01, RW.02","Kota Bandung","Jawa Barat","ID",,"+62 895-3388-28020","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BINTANG%20LAUNDRY%20CIKADUT&query_place_id=ChIJ3QHoCQDnaC4RQiK8cwjYVpo","Layanan Binatu"
"Mother Rini Laundry","3","4","Motherini laundry, Jl. Padasuka No.110","Kota Bandung","Jawa Barat","ID",,"","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mother%20Rini%20Laundry&query_place_id=ChIJ6foKC5DnaC4R-vVJFJR5VJI","Layanan Binatu"
"BOBCAT BEAUTY BAR","4.8","570","Jl. Buah Batu No.28","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/bobcatbeautybarber/","+62 819-9008-8128","Salon Kecantikan","Layanan Penghilang Bulu","Salon Rambut","Salon Kuku",,,,,"https://www.google.com/maps/search/?api=1&query=BOBCAT%20BEAUTY%20BAR&query_place_id=ChIJ115NFIHoaC4Rk_9Cz97TltM","Salon Kecantikan"
"BX Laundry karpet","4.5","8","Jl. Cicabe No.131e","Kota Bandung","Jawa Barat","ID",,"+62 857-9419-9474","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BX%20Laundry%20karpet&query_place_id=ChIJ66jmjjnnaC4RB15l1qEWI_Q","Layanan Binatu"
"Laundry kiloan & satuan SEJATI","5","3","Jl. Girimande No.19 Blk B1","Kota Bandung","Jawa Barat","ID",,"+62 819-1007-1422","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Laundry%20kiloan%20%26%20satuan%20SEJATI&query_place_id=ChIJuVCGc7fdaC4R9HTwRDA0VaM","Layanan Binatu"
"Peachy Laundry","5","11","Jl. Jatihandap No.133","Kota Bandung","Jawa Barat","ID",,"+62 851-4212-6277","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Peachy%20Laundry&query_place_id=ChIJ1auS0h3haC4RKc6OsDWFMzg","Layanan Binatu"
"KuyCek Laundry","4.6","29","Jl. Sasak Batu No.45, RT.02/RW.01","Kabupaten Bandung","Jawa Barat","ID",,"+62 878-2441-8162","Binatu Cucian Kering",,,,,,,,"https://www.google.com/maps/search/?api=1&query=KuyCek%20Laundry&query_place_id=ChIJ5WRgvlDnaC4RK45IiC_Y50A","Binatu Cucian Kering"
"MQL LAUNDRY EXPRESS","4.5","28","Jl. Jatihandap No.72","Kota Bandung","Jawa Barat","ID",,"","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=MQL%20LAUNDRY%20EXPRESS&query_place_id=ChIJm32XdADnaC4R6Rul6lWXhG8","Binatu"
"Top Laundry","5","1","Jl. Asri No.16","Kota Bandung","Jawa Barat","ID",,"+62 812-2020-6068","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Top%20Laundry&query_place_id=ChIJq1jVfprnaC4RN8j8S9tJPy4","Layanan Binatu"
"Yucca Salon","4.8","573","Ruko Segitiga Emas, Jl. Gandapura","Kota Bandung","Jawa Barat","ID","https://yuccasalon.id/","+62 817-106-263","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yucca%20Salon&query_place_id=ChIJxTMSdtLnaC4RNYcMUpKCLSQ","Salon Kecantikan"
"Marbella laundry","4.3","12","Jl. Jatihandap Timur","Kota Bandung","Jawa Barat","ID",,"+62 857-9313-5209","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Marbella%20laundry&query_place_id=ChIJ-3arQxXnaC4RWpQ9u0N1gqE","Binatu"
"Amaya Beauty & Wellness Salon","4.8","1056","Jl. Cihapit No.27","Kota Bandung","Jawa Barat","ID",,"+62 812-2378-3642","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Amaya%20Beauty%20%26%20Wellness%20Salon&query_place_id=ChIJxdnwIPznaC4RvNE58jpD9pg","Salon Kecantikan"
"Laundry Syariah Bunaken","5","1","Taman Melati Pasir Impun","Kota Bandung","Jawa Barat","ID",,"+62 819-9411-3681","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Laundry%20Syariah%20Bunaken&query_place_id=ChIJpZbbR3rdaC4ReqUDH3eTuNA","Binatu"
"Spin-Go Laundry by de Moengils","5","3","Jl. Jatihandap No.292","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/spin.go.laundry?igsh=MWdwdG5tY2pobjV4eQ==","+62 856-2596-335","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spin-Go%20Laundry%20by%20de%20Moengils&query_place_id=ChIJy_tpfADnaC4Rv6MRjl4PB2A","Layanan Binatu"
"Rivan Laundry","4.5","2","4M2J+MFG, Jl. Arcamanik","Kota Bandung","Jawa Barat","ID",,"+62 895-1433-348","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rivan%20Laundry&query_place_id=ChIJfeE7LL3daC4RXiTP3BIkio0","Layanan Binatu"
"RUMAH LAUNDRY BANDUNG (LAUNDRY GRATIS ANTAR JEMPUT BANDUNG)","3.6","78","Jl. Cijambe No.32","Kota Bandung","Jawa Barat","ID",,"+62 877-2873-3626","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RUMAH%20LAUNDRY%20BANDUNG%20(LAUNDRY%20GRATIS%20ANTAR%20JEMPUT%20BANDUNG)&query_place_id=ChIJW4r4XrbdaC4RdVjuEEaWQZc","Binatu"
"Malaundry","4.7","175","Jl. Padasuka No.131","Kabupaten Bandung","Jawa Barat","ID",,"+62 812-6779-6667","Binatu Cucian Kering",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Malaundry&query_place_id=ChIJx6weHtnnaC4R-yC-rffU8SI","Binatu Cucian Kering"
"Amanah Laundry","5","1","Jl. Cigiringsing No.4A","Kota Bandung","Jawa Barat","ID",,"+62 858-4662-9970","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Amanah%20Laundry&query_place_id=ChIJR2NqjYfdaC4R2Bb2msw72qQ","Layanan Binatu"
