"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Towing ""Bandung Sekajadi""","5","6","Jl. Jamaras I No.182A, RT.04/RW.16","Kota Bandung","Jawa Barat","ID","https://towingbandung.start.page/","+62 821-1800-794","Jasa Derek Mobil","Jasa pengiriman mobil",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Towing%20%22Bandung%20Sekajadi%22&query_place_id=ChIJzYEVIYTnaC4RbsOqQg1KLWI","Jasa Derek Mobil"
"Neon Box Bandung King advertisement","5","1","Jl. Sirnagalih No.47","Kota Bandung","Jawa Barat","ID",,"+62 878-1975-4820","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Neon%20Box%20Bandung%20King%20advertisement&query_place_id=ChIJh088grPnaC4RfIPbANpBuwU","Bengkel Mobil"
"Rif-Q Motor","4.2","13","Jl. Jatihandap No.23","Kota Bandung","Jawa Barat","ID",,"+62 22 7216383","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rif-Q%20Motor&query_place_id=ChIJnc5L_I3naC4RJ7Uql6-k9t0","Bengkel Sepeda Motor"
"4M3J+3P7 Sindang Jaya, Kota Bandung, Jawa Barat","5","1","4M3J+3MG, Jl. Arcamanik","Kota Bandung","Jawa Barat","ID",,"","Toko Aki Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=4M3J%2B3P7%20Sindang%20Jaya%2C%20Kota%20Bandung%2C%20Jawa%20Barat&query_place_id=ChIJ5wlMHADdaC4RVuxeU84SGYY","Toko Aki Mobil"
"Indra Autoservice panggilan bisa di tempat","5","18","Jl. Cikadut No.18","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Indra%20Autoservice%20panggilan%20bisa%20di%20tempat&query_place_id=ChIJhXmokcrnaC4R0rm5dY_00ok","Bengkel Mobil"
"BENGKEL MOBIL","5","3","KOMPLEK GRIYA JATIPUTRA 42","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOBIL&query_place_id=ChIJwWpGNQLdaC4Rjcsjt5JzLNw","Bengkel Mobil"
"Bengkel dinamo mobil (Auto24)","5","15","Jl. Cikadut, RT.5/RW.3","Kota Bandung","Jawa Barat","ID","https://sites.google.com/view/auto24jasaservice/halaman-muka","+62 851-4160-1519","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20dinamo%20mobil%20(Auto24)&query_place_id=ChIJkav8fQDdaC4Ru4SLs97if4Q","Bengkel Mobil"
"Bengkel Mobil EL-HAMID MOTOR","5","4","Jl. Jatihandap No.25, RT.04/RW.09","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Mobil%20EL-HAMID%20MOTOR&query_place_id=ChIJy51hf43naC4ROnEWWgv--Ho","Bengkel Mobil"
"bengkel mobil indra auto servis area bandung kota","5","1","Jl. Cikadut No.18","Kota Bandung","Jawa Barat","ID",,"+62 856-9477-5184","Toko perawatan otomotif",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20mobil%20indra%20auto%20servis%20area%20bandung%20kota&query_place_id=ChIJpXXMHgDnaC4Rbc_MOB9AbO4","Toko perawatan otomotif"
"Bengkel Cat Mobil mang Engkos Bandung","5","4","Gg. Bukatanah I No.27","Kota Bandung","Jawa Barat","ID",,"+62 895-0801-3080","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Cat%20Mobil%20mang%20Engkos%20Bandung&query_place_id=ChIJDfxUA4TdaC4RaMhxn4cgkKU","Bengkel Mobil"
"Distributor Alat Bengkel","5","2","Komp Griya, Asri F Lima No.20","Kota Bandung","Jawa Barat","ID","https://www.wattpad.com/user/peralatanbengkel","+62 821-1917-5481","Toko Mesin Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Distributor%20Alat%20Bengkel&query_place_id=ChIJyTimj2bnaC4RyAkCU3iytAs","Toko Mesin Mobil"
"Bengkel motor ljm2",,,"4M4C+GG7, Jl. Giri Raya","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20ljm2&query_place_id=ChIJAeHheADdaC4ROuiq9PqL7lc","Bengkel Sepeda Motor"
"Zheboo Motor","5","1","Jl. Palintang No.105","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zheboo%20Motor&query_place_id=ChIJ85sswRndaC4RXi66sLXPWDw","Bengkel Mobil"
"Bengkel Motor Service Motor",,,"4M4C+436, Jl. Cikadut","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Service%20Motor&query_place_id=ChIJYVR9SX3daC4RzMqpJ3qUJsI","Bengkel Mobil"
"Bengkel motor/mobil",,,"JlN. Mekar II,pasirlayung RT 02 RW 01 Padasuka","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%2Fmobil&query_place_id=ChIJXzexGQDnaC4R0C_aDn0Ip5Y","Bengkel Sepeda Motor"
"Tanjakan panjang","4.8","4","4P46+J2F","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tanjakan%20panjang&query_place_id=ChIJodC4kirdaC4RfbLfUq7Wwfs","Bengkel Mobil"
"Bengkel Cat Mobil & Las Mobil Bandung","4.7","18","Jl. Pawenang II No.3","Kota Bandung","Jawa Barat","ID","https://bengkelcatlasmobilbdg.blogspot.com/","+62 895-3740-75521","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Cat%20Mobil%20%26%20Las%20Mobil%20Bandung&query_place_id=ChIJx6QZCy3daC4RiInUNQUwU-4","Bengkel Mobil"
"SANDI MOTOR FACTORY","5","5",,"Kota Bandung","Jawa Barat","ID",,"+62 821-1778-3533","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SANDI%20MOTOR%20FACTORY&query_place_id=ChIJSWoMm5fdaC4RmiHu9YUKico","Bengkel Sepeda Motor"
"Service radiator dan bengkel mobil","5","1","bengkel, Jl ah nasution, Jl. Arcamanik Jl. Malabar No.303, RT.01/RW.11 kelurahan","Kota Bandung","Jawa Barat","ID",,"+62 877-3404-0953","Jasa pengiriman mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Service%20radiator%20dan%20bengkel%20mobil&query_place_id=ChIJ9Tgs_NvdaC4Rtphr0h3pwWE","Jasa pengiriman mobil"
"Bengkel Mobil Anugrah","5","2","Jl. Golf Selatan I Blk. V No.27","Kota Bandung","Jawa Barat","ID",,"+62 822-1443-4432","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Mobil%20Anugrah&query_place_id=ChIJjY-D__7daC4RO2MOimFlYfQ","Bengkel Mobil"
"Automaster Bengkel Antapani","4.3","1326","Jl. Terusan Jakarta No.118","Kota Bandung","Jawa Barat","ID","http://www.automasterbengkel.id/","+62 22 71520001","Bengkel Mobil","Tempat Pencucian Mobil",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Automaster%20Bengkel%20Antapani&query_place_id=ChIJTzZ8Ou7naC4RXDR4IkFM8rc","Bengkel Mobil"
"BENGKEL MOTOR USEP",,,"Jl. Jamaras III Jl. Jatihandap No.117, RT.04/RW.02","Kabupaten Bandung","Jawa Barat","ID",,"+62 896-0442-5908","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20USEP&query_place_id=ChIJLWP_airnaC4RtZAvVuAYUEQ","Bengkel Sepeda Motor"
"BENGKEL MOBIL 24 JAM BANDUNG DAHLAN MONTIR","4.6","66","stone garden resident cisaranten kulon no 11, RT.07/RW.05","Kota Bandung","Jawa Barat","ID","https://5e8311b45cca9.site123.me/","+62 821-2683-4003","Bengkel Mobil","Jasa pengiriman mobil",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOBIL%2024%20JAM%20BANDUNG%20DAHLAN%20MONTIR&query_place_id=ChIJ-86z3DrFaC4RJ8fMtUIMNsE","Bengkel Mobil"
"Bud_Vaporblasting","5","2","50m sebelum kolam renang sawarga, Jl. Arcamanik, RT.03/RW.06","Kota Bandung","Jawa Barat","ID",,"+62 895-3422-86532","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bud_Vaporblasting&query_place_id=ChIJl1agA5XdaC4RZ5w5JMZFUJM","Bengkel Sepeda Motor"
"Bengkel Spesialis Mobil Toyota & Daihatsu Bandung","4.9","327","Jl. Terusan Sindang Barang No.18","Kota Bandung","Jawa Barat","ID",,"+62 856-2424-2481","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Spesialis%20Mobil%20Toyota%20%26%20Daihatsu%20Bandung&query_place_id=ChIJ7xkKLCfnaC4RFcRRuck8zyo","Bengkel Mobil"
"Bengkel mobil 24 jam area bandung kota",,,"Jl. Cikadut No.18","Kota Bandung","Jawa Barat","ID",,"+62 877-3975-7791","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20mobil%2024%20jam%20area%20bandung%20kota&query_place_id=ChIJSSmy5jHnaC4RM6grq3z_JlY","Bengkel Mobil"
"Bengkel Mustika Motor","3.7","3","Jl. Jatihandap Timur No.115","Kota Bandung","Jawa Barat","ID",,"","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Mustika%20Motor&query_place_id=ChIJ2x5ni4_naC4R2PvsdpnbBgQ","Bengkel Motor Skuter"
"Bengkel Motor Porocot Kepet","4.2","5","Jl. Jatihandap No.153","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Porocot%20Kepet&query_place_id=ChIJvUS8A_LnaC4R-69NdAfMCd0","Bengkel Sepeda Motor"
"Ahass Delima Jaya","4.8","1363","Jl. Padasuka","Kota Bandung","Jawa Barat","ID",,"+62 856-4000-0000","Dealer Honda",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ahass%20Delima%20Jaya&query_place_id=ChIJW7-ErpHnaC4RIkm6aJXR65s","Dealer Honda"
"Salon Mobil Panggilan Bandung","4.8","11",,"Kota Bandung","Jawa Barat","ID","http://sukma24.wordpress.com/","+62 819-1020-6244","Bengkel Perbaikan Bodi Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20Mobil%20Panggilan%20Bandung&query_place_id=ChIJ7YDojGrdaC4RZ7rmNBBJbfE","Bengkel Perbaikan Bodi Mobil"
"Bengkel mobil 24jam bandung","4","42","Jl. Cikutra No.203","Kota Bandung","Jawa Barat","ID","https://nalaktak-injection.com/","+62 821-3011-1207","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20mobil%2024jam%20bandung&query_place_id=ChIJ8xFyNaLnaC4RnCe51Hvz2_I","Bengkel Mobil"
"Bengkel Mobil Nonx Auto Bandung","4.8","45","Jl. Atput II no.8 cicaheum","Kota Bandung","Jawa Barat","ID",,"+62 859-4752-3262","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Mobil%20Nonx%20Auto%20Bandung&query_place_id=ChIJwe7FJWLnaC4RcrXKXu7ih4g","Bengkel Mobil"
"Aldy Motor","3.3","18","Jl. Padasuka No.34","Kota Bandung","Jawa Barat","ID",,"+62 22 7104522","Bengkel Sepeda Motor","Bengkel Mobil","Toko Suku Cadang Motor","Bengkel Ganti Oli",,,,,,,"https://www.google.com/maps/search/?api=1&query=Aldy%20Motor&query_place_id=ChIJBZrToZHnaC4Rmb1oYNgKyKo","Bengkel Sepeda Motor"
"Bengkel Motor Yellow Speed 46",,,"Jl. Padasuka Atas No.113","Kabupaten Bandung","Jawa Barat","ID",,"+62 878-1772-3839","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Yellow%20Speed%2046&query_place_id=ChIJD5a9iVjnaC4RZRkBSZxmIfs","Bengkel Sepeda Motor"
"Rahma Motor","3","2","Jl. Jatihandap No.71","Kabupaten Bandung","Jawa Barat","ID",,"+62 856-2489-1498","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rahma%20Motor&query_place_id=ChIJC3yVuWXnaC4RWEb7pywNpoU","Bengkel Motor Skuter"
"BENGKEL 114 SOLUTION","5","9","Jl. Cikadut No.6A","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/114solution?igsh=cjlkNjR0OHNyb256","+62 822-4029-6991","Bengkel Sepeda Motor","Bengkel Motor Skuter",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20114%20SOLUTION&query_place_id=ChIJg2Piq3znaC4RNLs4JBfo1M8","Bengkel Sepeda Motor"
"Ate Bengkel","4.5","4","Jl. Padasuka No.54, RW.07","Kota Bandung","Jawa Barat","ID",,"","Bengkel Motor Elektrik",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ate%20Bengkel&query_place_id=ChIJvZTv0CHnaC4RyrAvXs6wEbc","Bengkel Motor Elektrik"
"KYX VARIASI Aksesoris Motor Trail & Supermoto","4.7","74","Jl. Jatihandap Timur No.108, RT.04/RW.07","Kota Bandung","Jawa Barat","ID",,"+62 812-1014-1001","Toko Suku Cadang Motor","Bengkel Sepeda Motor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KYX%20VARIASI%20Aksesoris%20Motor%20Trail%20%26%20Supermoto&query_place_id=ChIJGXK3CJXnaC4RGevzwtO9stg","Toko Suku Cadang Motor"
"Bengkel Motor & Aksesoris — Berkah Pit Station","4","5","Jl. Padasuka Atas No.123","Kota Bandung","Jawa Barat","ID",,"+62 811-8681-262","Toko Suku Cadang Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20%26%20Aksesoris%20%E2%80%94%20Berkah%20Pit%20Station&query_place_id=ChIJZfEMpJrnaC4RE1izPU7Li9k","Toko Suku Cadang Motor"
"TRIXXIE Motor","4.9","26","Jl. Cikadut No.93/4, RT.01/RW.03","Kota Bandung","Jawa Barat","ID",,"+62 815-7252-7903","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TRIXXIE%20Motor&query_place_id=ChIJIUlz5InnaC4RRl-5s_HSkWc","Bengkel Sepeda Motor"
"Yamaha D-Aiz Motor","4.5","79","Jl. Padasuka Atas No.113","Kabupaten Bandung","Jawa Barat","ID",,"+62 22 7212515","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yamaha%20D-Aiz%20Motor&query_place_id=ChIJDTZqzprnaC4R6Di5it4oQ6s","Bengkel Sepeda Motor"
"Jatihandap Motor","4.1","8","Jl. H. Saodah No.147, RT.2/RW.08","Kota Bandung","Jawa Barat","ID",,"+62 852-2093-2222","Bengkel Sepeda Motor","Toko Suku Cadang Motor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jatihandap%20Motor&query_place_id=ChIJbVSujI_naC4Rpmlq9PSZwO4","Bengkel Sepeda Motor"
"BENGKEL MOBIL PANGGILAN 24JAM (TENDI)","5","98","Jl. Cijambe Jl. Pasirjati Endah","Kabupaten Bandung","Jawa Barat","ID",,"+62 813-1418-9312","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOBIL%20PANGGILAN%2024JAM%20(TENDI)&query_place_id=ChIJL51fOj7daC4RIz5MRXPS47M","Bengkel Mobil"
"H2COSTUME ( SI RAJA PROMO ) REPAINT / CAT VELG / CARBON & REPAIR","4.6","87","Jl. Cikadut No.1","Kota Bandung","Jawa Barat","ID",,"+62 819-2888-3650","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=H2COSTUME%20(%20SI%20RAJA%20PROMO%20)%20REPAINT%20%2F%20CAT%20VELG%20%2F%20CARBON%20%26%20REPAIR&query_place_id=ChIJufuWFp7daC4RVFtFIlgISjs","Bengkel Sepeda Motor"
"BENGKEL MINERVA SERVICE BANDUNG","5","3","Jl. Giri Jati No.2","Kota Bandung","Jawa Barat","ID",,"+62 817-7022-2233","Toko Suku Cadang Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MINERVA%20SERVICE%20BANDUNG&query_place_id=ChIJTRXbQC3daC4RmvvXjp9lUS4","Toko Suku Cadang Motor"
"Palasari Motor","4.3","7","Jl. Pasir Impun No.46","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Palasari%20Motor&query_place_id=ChIJWbhE7WTdaC4RqCy1hIAH6g4","Bengkel Mobil"
"Bengkel Motor JhonoConcept","4.5","13","Unnamed Road","Kota Bandung","Jawa Barat","ID",,"+62 813-2016-0220","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20JhonoConcept&query_place_id=ChIJW3SXv6TdaC4Ryrraw0Bb-Mo","Bengkel Sepeda Motor"
"Bengkel Honda Ahass Mitra Mandiri Motor","4.9","563","Jl. AH. Nasution, Raya Sindanglaya No. 62","Kota Bandung","Jawa Barat","ID",,"+62 812-5507-8998","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Honda%20Ahass%20Mitra%20Mandiri%20Motor&query_place_id=ChIJzzoobsLdaC4RhHUWefbw3X8","Bengkel Sepeda Motor"
"Planet Ban Padasuka","4.5","111","Jl. Padasuka No.59","Kota Bandung","Jawa Barat","ID","https://lokasi.planetban.com/planet-ban-jalan-padasuka-pasirlayung-motorcycle-repair-shop-kota-bandung-bandung-393987/Home?utm_source=locator&utm_medium=googleplaces","+62 817-0006-055","Bengkel Sepeda Motor","Bengkel Motor Skuter","Toko Suku Cadang Motor","Layanan ban","Toko Ban",,,,,,"https://www.google.com/maps/search/?api=1&query=Planet%20Ban%20Padasuka&query_place_id=ChIJoY_FYw7naC4RGeO8ca3rvug","Bengkel Sepeda Motor"
"Ato Jaya Motor","4.5","13","Jl. Jatihandap No.16","Kota Bandung","Jawa Barat","ID",,"+62 22 7236035","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ato%20Jaya%20Motor&query_place_id=ChIJ900fJY7naC4R4D2IITHwKFk","Bengkel Mobil"
"AH Tech Garage","5","11",,"Kota Bandung","Jawa Barat","ID",,"+62 812-2485-948","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AH%20Tech%20Garage&query_place_id=ChIJMcu4V3XdaC4RGUq0CNmQeqg","Bengkel Sepeda Motor"
"ASEP KNALPOT ( AK EXHAUST SYSTEM )","4.4","103","Jl. Moch Syahri No.1","Kota Bandung","Jawa Barat","ID",,"+62 821-1557-0278","Bengkel Mesin",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ASEP%20KNALPOT%20(%20AK%20EXHAUST%20SYSTEM%20)&query_place_id=ChIJjSe0g4LdaC4RglrRlSDV6ZA","Bengkel Mesin"
"Letooy Garage","4.8","6","Jl. Sukaasih Raya Atas No.258","Kota Bandung","Jawa Barat","ID",,"+62 896-3303-3835","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Letooy%20Garage&query_place_id=ChIJefK8zG7daC4R7L2Hvrp67RM","Bengkel Sepeda Motor"
"AHASS BAROKAH MOTOR Sukamiskin","4.2","643","Jl. AH. Nasution No.111","Kota Bandung","Jawa Barat","ID",,"+62 22 7234347","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AHASS%20BAROKAH%20MOTOR%20Sukamiskin&query_place_id=ChIJMycCsmDdaC4R725TqZP_nto","Bengkel Sepeda Motor"
"ART RACING TEAM","5","7","3PX7+FFR","Kota Bandung","Jawa Barat","ID",,"+62 859-1384-39160","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ART%20RACING%20TEAM&query_place_id=ChIJR684Mx7daC4RM1M2OfUsnjE","Bengkel Motor Skuter"
"Sutanto Motor","4.1","506","Jl. AH. Nasution No.161","Kota Bandung","Jawa Barat","ID",,"+62 22 7101698","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sutanto%20Motor&query_place_id=ChIJRTwme2fdaC4RY9UL-hdcEmw","Bengkel Sepeda Motor"
"CAHAYA MOTOR RACING - ONE89 MOTOSHOP SPESIALIS CVT & BAN UPGRADE TANJAKAN TOP SPEED","4.6","483","Jl. Sindanglaya Jl. AH. Nasution No.189","Kota Bandung","Jawa Barat","ID",,"+62 22 7216312","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CAHAYA%20MOTOR%20RACING%20-%20ONE89%20MOTOSHOP%20SPESIALIS%20CVT%20%26%20BAN%20UPGRADE%20TANJAKAN%20TOP%20SPEED&query_place_id=ChIJLfBriWfdaC4RTABDP7oEljo","Bengkel Sepeda Motor"
"BENGKEL MOTOR DS027GARAGE","5","60","Jl. Sirnagalih No.1 no.1","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20DS027GARAGE&query_place_id=ChIJWyRR5dDnaC4RkjeIsc-zJcw","Bengkel Sepeda Motor"
"SAHABAT MOTOR Paijo","4.9","13","Jl. Cinangka No.199","Kota Bandung","Jawa Barat","ID",,"+62 813-2052-7739","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SAHABAT%20MOTOR%20Paijo&query_place_id=ChIJIaryKxjdaC4RZTFS06d19F4","Bengkel Sepeda Motor"
"Bengkel Motor UngProject","5","1","4M35+M84, Jl. Jatihandap","Kota Bandung","Jawa Barat","ID","https://www.tiktok.com/@ungproject_?_r=1&_t=ZS-91XOhLEdYe8","+62 812-8757-8681","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20UngProject&query_place_id=ChIJgZX4XQDnaC4RxBjdeZULXVw","Bengkel Sepeda Motor"
"Apotek Kimia Farma Antapani","4.8","198","Jl. Terusan Jakarta No.341","Kota Bandung","Jawa Barat","ID","http://kimiafarmaapotek.co.id/","+62 811-2157-655","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Kimia%20Farma%20Antapani&query_place_id=ChIJp0frge_naC4R_3Uee-U49vw","Apotek"
"Bengkel Mobil AJM Auto Service -- Tau Beres Aja","4.8","112","Jl. Makmur No.3","Kota Bandung","Jawa Barat","ID","https://www.tiktok.com/@bengkelmobilnewajm.bdg?_r=1&_t=ZS-96P8nU8YPNl","+62 822-1456-4141","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Mobil%20AJM%20Auto%20Service%20--%20Tau%20Beres%20Aja&query_place_id=ChIJhR37nH7maC4RT836iL10MDg","Bengkel Mobil"
