"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Bengkel Motor Saung Pajajaran dan press body motor","4.5","121","Jl. Pajajaran No.80 C","Kota Bandung","Jawa Barat","ID",,"+62 812-2040-8901","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Saung%20Pajajaran%20dan%20press%20body%20motor&query_place_id=ChIJTRH7HWvmaC4RJTcq6Tfz6z0","Bengkel Sepeda Motor"
"Bengkel Aa Motor","4.8","172","Jl. BKR No.36","Kota Bandung","Jawa Barat","ID",,"+62 881-0235-77091","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Aa%20Motor&query_place_id=ChIJn6PH4IfoaC4RE6icEQL1ZdY","Bengkel Sepeda Motor"
"Toko King Motor (bengkel motor) jalan pagarsih no 200","4.2","795","Jl. Pagarsih No.200","Kota Bandung","Jawa Barat","ID",,"+62 895-3223-27762","Toko Suku Cadang Motor","Bengkel Motor Skuter","Bengkel Sepeda Motor","Toko Sepeda Motor",,,,,,,"https://www.google.com/maps/search/?api=1&query=Toko%20King%20Motor%20(bengkel%20motor)%20jalan%20pagarsih%20no%20200&query_place_id=ChIJNz-5YBnmaC4Rsjr5qdIQp4o","Toko Suku Cadang Motor"
"Sunda Motor","4.7","589","Jl. Sunda No.26","Kota Bandung","Jawa Barat","ID",,"+62 22 4235616","Bengkel Ganti Oli",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sunda%20Motor&query_place_id=ChIJWzt3UCzmaC4RWr606oRirbc","Bengkel Ganti Oli"
"RUMAH LAMMY BANDUNG",,,"Jl. Tubagus Ismail VIII No.56","Kota Bandung","Jawa Barat","ID",,"+62 811-1112-1999","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RUMAH%20LAMMY%20BANDUNG&query_place_id=ChIJKXQq2zLnaC4RyePRjVDyI28","Bengkel Motor Skuter"
"Bengkel Gudang Jaya Motor","4.8","41","Jl. Gatot Subroto","Kota Bandung","Jawa Barat","ID",,"+62 812-2033-3939","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Gudang%20Jaya%20Motor&query_place_id=ChIJxyVXI1_paC4R-n3D7n-L2r0","Bengkel Sepeda Motor"
"DANISH MOTOR WORKSHOP ( Bengkel khusus panggilan )","5","559","Jl. Denki","Kota Bandung","Jawa Barat","ID","http://wa.me/62881022140519","+62 881-0221-40519","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DANISH%20MOTOR%20WORKSHOP%20(%20Bengkel%20khusus%20panggilan%20)&query_place_id=ChIJd59g12TpaC4Rr6Ov6EVZSH4","Bengkel Sepeda Motor"
"Bengkel Motor DMS Man's Speed Bandung","4.4","11","Jl. H. Bardan Raya","Kota Bandung","Jawa Barat","ID",,"+62 896-2702-2502","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20DMS%20Man's%20Speed%20Bandung&query_place_id=ChIJ0UltPIHpaC4RRjyU4EpzKb4","Bengkel Sepeda Motor"
"Oscar Bandung Motor","4.6","135","Jl. Soekarno-Hatta No.567","Kota Bandung","Jawa Barat","ID",,"+62 857-0341-4189","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oscar%20Bandung%20Motor&query_place_id=ChIJFYw3hbfnaC4Rgs9-UVj4bnQ","Bengkel Sepeda Motor"
"BENGKEL MOTOR KKRC (DOGLO CREW)","5","1","Pinggir paud darussholihin, Jl. Rancabentang Dalam, RT./rw/RW.03/06","Kota Bandung","Jawa Barat","ID",,"+62 831-7677-5919","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20KKRC%20(DOGLO%20CREW)&query_place_id=ChIJpRLvSwDdaC4RgPYxN4j8rjs","Bengkel Sepeda Motor"
"Bengkel.motor FERI",,,"4H5R+39H warung aang, RT.21/RW.12 gang","Kota Bandung","Jawa Barat","ID",,"+62 821-2545-5510","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel.motor%20FERI&query_place_id=ChIJ-ev4HgDnaC4RWq98d9ASHIo","Bengkel Sepeda Motor"
"Doktor Motor TUTUP PERMANENT","4.6","193","2JX2+W8J, Jl. Mekar Wangi","Kota Bandung","Jawa Barat","ID",,"+62 819-3996-4714","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Doktor%20Motor%20TUTUP%20PERMANENT&query_place_id=ChIJ3xz-pE7naC4RlKQ0ofKLhOU","Bengkel Sepeda Motor"
"Yonk Jaya Motor Bandung 640 - Cicaheum","4.9","3260","Jl. A. Yani No.640","Kota Bandung","Jawa Barat","ID","https://taplink.cc/six40","+62 851-7437-2096","Bengkel Sepeda Motor","Bengkel Per Mobil","Agensi penjenamaan","Layanan Distribusi","Bengkel Motor Skuter","Dealer Kendaraan Bermotor","Dealer Sepeda Motor","Toko Suku Cadang Motor","Toko Sepeda Motor","Layanan ban","https://www.google.com/maps/search/?api=1&query=Yonk%20Jaya%20Motor%20Bandung%20640%20-%20Cicaheum&query_place_id=ChIJTYB1YB7naC4RHdmLkKlxN64","Bengkel Sepeda Motor"
"bengkel motor faisaldipoera","5","2",,,,,,"",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20motor%20faisaldipoera&query_place_id=ChIJS_msdrbnaC4RooMeQxtmtbs",
"Bengkel motor/mobil",,,"JlN. Mekar II,pasirlayung RT 02 RW 01 Padasuka","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%2Fmobil&query_place_id=ChIJXzexGQDnaC4R0C_aDn0Ip5Y","Bengkel Sepeda Motor"
"Jasa Prima Rental Motor Dan Mobil Bandung","3.1","200","Jl. Dr. Djunjunan No.103","Kota Bandung","Jawa Barat","ID","https://jasaprimarental.com/","+62 818-0207-1733","Penyewaan Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jasa%20Prima%20Rental%20Motor%20Dan%20Mobil%20Bandung&query_place_id=ChIJMY7NPmjmaC4RHVN-iZu-8gc","Penyewaan Sepeda Motor"
"Srijaya Motor Mandiri BENGKEL 24 JAM","2.8","36","Depan Pasar Induk, Jl Soekarno Hatta No. 22A Pas Perempatan Lampu Merah, Jl. Caringin","Kota Bandung","Jawa Barat","ID",,"+62 821-1835-5221","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Srijaya%20Motor%20Mandiri%20BENGKEL%2024%20JAM&query_place_id=ChIJ-a6mzPTpaC4RO-P-Hv7lBuI","Bengkel Sepeda Motor"
"Riung Bandung Motor","3.8","118","Jl. Raya Cipamokolan No.40","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/bengkel_riung_bandung_motor?igsh=azZuYnN5YTYyMGp5","+62 812-2429-7444","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Riung%20Bandung%20Motor&query_place_id=ChIJxfzmh6PCaC4RycAwpFyo9q8","Bengkel Mobil"
"'BENGKEL GADUN GARAGE TEKNO'","5","4","Jl. Babakan Baru","Kota Bandung","Jawa Barat","ID","https://instagram.com/kali500_?igshid=MzNlNGNkZWQ4Mg==","+62 831-6024-9124","Bengkel Motor Skuter","Bengkel Bongkar Pasang Mesin","Bengkel Sepeda Motor","Bengkel Ganti Oli",,,,,,,"https://www.google.com/maps/search/?api=1&query='BENGKEL%20GADUN%20GARAGE%20TEKNO'&query_place_id=ChIJ96Lxl2bnaC4RCtUPx2tDEGc","Bengkel Motor Skuter"
"Kiaracondong Motor","4.3","143","Jl. Kiara Condong No.273","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kiaracondong%20Motor&query_place_id=ChIJORtNJXXoaC4RAn7KS-ntpZY","Bengkel Sepeda Motor"
"A.Z.R bengkel motor","5","1","Jl. Bukit Raya Atas","Kota Bandung","Jawa Barat","ID",,"+62 838-7493-4274","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=A.Z.R%20bengkel%20motor&query_place_id=ChIJj_wKLwDnaC4RRJdu_8JN09Q","Bengkel Sepeda Motor"
"Sutanto Motor","4.1","506","Jl. AH. Nasution No.161","Kota Bandung","Jawa Barat","ID",,"+62 22 7101698","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sutanto%20Motor&query_place_id=ChIJRTwme2fdaC4RY9UL-hdcEmw","Bengkel Sepeda Motor"
"Bengkel Motor Panggilan 24 Jam Aden Mechanic","5","6","Blok.A2 23, Jl. Raya Derwati Perumahan Demarrakesh No.23","Kota Bandung","Jawa Barat","ID",,"+62 813-1340-0417","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Panggilan%2024%20Jam%20Aden%20Mechanic&query_place_id=ChIJf6nYKgDDaC4Rgbt5eE_8n-8","Bengkel Sepeda Motor"
"Nusantara Motor","4.2","437","Jl. A. Yani No.332","Kota Bandung","Jawa Barat","ID",,"+62 812-2288-8397","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nusantara%20Motor&query_place_id=ChIJbcOm2sXnaC4RqX3w0s3YyZc","Bengkel Sepeda Motor"
"Bengkel Laksana Motor","4.1","28","3HCR+7GM, Jl. Babakan Irigasi","Kota Bandung","Jawa Barat","ID","https://wa.link/c3mnpy","+62 823-2823-1223","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Laksana%20Motor&query_place_id=ChIJ70n0L73paC4RHxCNuK0otPo","Bengkel Sepeda Motor"
"Bengkel motor","5","2","Jl. Rancabolang No.54","Kota Bandung","Jawa Barat","ID",,"+62 859-3480-8628","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor&query_place_id=ChIJcaNjInfpaC4R4_oveKg2mpY","Bengkel Sepeda Motor"
"Bengkel Motor dan Las Abah Surip","4.8","65","Jl. Maleer Utara No.97","Kota Bandung","Jawa Barat","ID",,"+62 881-0227-14755","Montir","Jasa Pernikahan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20dan%20Las%20Abah%20Surip&query_place_id=ChIJVT97VqPnaC4RIrUoEOAvNGo","Montir"
"Jabar Motor","4.2","75","Jl. Gatot Subroto No.15","Kota Bandung","Jawa Barat","ID",,"+62 22 7301964","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jabar%20Motor&query_place_id=ChIJeZ87hyzmaC4RMlm9R52XJtA","Bengkel Sepeda Motor"
"Bengkel motor AMS (Adly motor sport)","5","1","4M32+27X, Jl. Terusan Cimuncang","Kota Bandung","Jawa Barat","ID",,"+62 857-9360-3008","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20AMS%20(Adly%20motor%20sport)&query_place_id=ChIJh95SMZfnaC4RlXDuxYhxDMU","Bengkel Sepeda Motor"
"GP Motor bengkel CBR dan remap Ecu honda","5","98","Jl. Gatot Subroto No.205","Kota Bandung","Jawa Barat","ID",,"+62 851-0610-1918","Bengkel Sepeda Motor","Toko Suku Cadang Motor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GP%20Motor%20bengkel%20CBR%20dan%20remap%20Ecu%20honda&query_place_id=ChIJAWe1qtfnaC4Ro030wlrb13A","Bengkel Sepeda Motor"
"Kiki Jaya Motor","4.2","343","Jl. Ciwastra No.52","Kota Bandung","Jawa Barat","ID",,"+62 812-2155-5444","Bengkel Mobil","Toko Suku Cadang Motor","Bengkel Sepeda Motor",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kiki%20Jaya%20Motor&query_place_id=ChIJPcNqrzroaC4RuA1pGGVk6MY","Bengkel Mobil"
"Dit'z Motor Sport","4.6","36","Jl. Otto Iskandar Dinata No.439","Kota Bandung","Jawa Barat","ID",,"+62 851-7543-1717","Bengkel Motor Elektrik",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dit'z%20Motor%20Sport&query_place_id=ChIJyyNMBp7oaC4RwlnV-o-dWno","Bengkel Motor Elektrik"
"Shakila Rental Motor","4.2","548","Jl. Gagak No.9","Kota Bandung","Jawa Barat","ID","http://rentalsepedamotordibandung.blogspot.com/","+62 812-8970-6875","Penyewaan Sepeda Motor","Agen Sewa Mobil",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shakila%20Rental%20Motor&query_place_id=ChIJQ6Rth63naC4RG8v9wLPHqDY","Penyewaan Sepeda Motor"
"Bengkel Motor Metic","4.4","35","Jl. Gatot Subroto No.421","Kota Bandung","Jawa Barat","ID",,"+62 22 91665253","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Metic&query_place_id=ChIJq4fEYnToaC4RHK-l0U4Rt_k","Bengkel Mobil"
"RAY MOTOR","5","46","Jl. Pungkur No.44 a","Kota Bandung","Jawa Barat","ID",,"+62 822-4034-5993","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RAY%20MOTOR&query_place_id=ChIJaRN68LjnaC4RhARRs7CvX_M","Bengkel Sepeda Motor"
"Bengkel Motor Yellow Speed 46",,,"Jl. Padasuka Atas No.113","Kabupaten Bandung","Jawa Barat","ID",,"+62 878-1772-3839","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Yellow%20Speed%2046&query_place_id=ChIJD5a9iVjnaC4RZRkBSZxmIfs","Bengkel Sepeda Motor"
"BENGKEL MOTOR MUTBER","5","1","Jl. Kp Jl. Pasir Kaliki Barat No.27, RT.08/RW.15","Kota Bandung","Jawa Barat","ID","https://rachmathidaandara.blogspot.com/2024/12/bengkel-motor-lakoni-bengkel-motor.html","+62 896-7910-0402","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20MUTBER&query_place_id=ChIJR0PGKQDnaC4R9YM_6A-VnQM","Bengkel Sepeda Motor"
"CAHAYA MOTOR RACING - ONE89 MOTOSHOP SPESIALIS CVT & BAN UPGRADE TANJAKAN TOP SPEED","4.6","483","Jl. Sindanglaya Jl. AH. Nasution No.189","Kota Bandung","Jawa Barat","ID",,"+62 22 7216312","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CAHAYA%20MOTOR%20RACING%20-%20ONE89%20MOTOSHOP%20SPESIALIS%20CVT%20%26%20BAN%20UPGRADE%20TANJAKAN%20TOP%20SPEED&query_place_id=ChIJLfBriWfdaC4RTABDP7oEljo","Bengkel Sepeda Motor"
"Bengkel motor Aira 11","4.7","22","Melania, Jl. Melania No.7","Kota Bandung","Jawa Barat","ID",,"+62 855-5926-5559","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20Aira%2011&query_place_id=ChIJb_c2exrnaC4ROXQzlGkBdmM","Bengkel Sepeda Motor"
"Tasik Motor bandung","4.6","24","Jl. Purwakarta No.139C","Kota Bandung","Jawa Barat","ID","https://bengkel.mobil.co.id/mobil-car-care-tasik-motor-oil-change-service-antapani-tengah-bandung-481751/Home?utm_source=locator&utm_medium=googleplaces","+62 821-1545-6368","Bengkel Ganti Oli","Layanan reparasi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tasik%20Motor%20bandung&query_place_id=ChIJ7xydlfrnaC4RA5PzrFFvy7Q","Bengkel Ganti Oli"
"BENGKEL MOTOR AWEEL-ATHEN",,,"Jl. Haji Yasin No.78","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20AWEEL-ATHEN&query_place_id=ChIJX964BADnaC4R4gA4-0i7TZg","Bengkel Sepeda Motor"
